account_id,customer_id,product_type,open_date,status,currency
ACC-0035,CUST-0114,Everyday,2022-03-24,frozen,AUD
ACC-0036,CUST-0142,Debit,2025-08-13,active,AUD
ACC-0037,CUST-0029,Savings,2023-04-29,active,AUD
ACC-0038,CUST-0102,Debit,2024-05-26,active,AUD
ACC-0039,CUST-0113,Savings,2025-09-04,active,AUD
ACC-0040,CUST-0067,Everyday,2025-02-22,closed,AUD
ACC-0041,CUST-0068,Debit,2025-07-10,active,AUD
ACC-0042,CUST-0095,Everyday,2026-06-10,active,AUD
ACC-0043,CUST-0001,Credit,2021-11-19,active,AUD
ACC-0044,CUST-0058,Credit,2021-02-14,active,AUD
ACC-0045,CUST-0106,Savings,2022-10-15,closed,AUD
ACC-0046,CUST-0087,Debit,2025-10-28,active,AUD
ACC-0047,CUST-0011,Credit,2025-01-11,active,AUD
ACC-0048,CUST-0064,Credit,2027-03-22,frozen,AUD
ACC-0049,CUST-0102,Debit,2025-04-25,active,AUD
ACC-0050,CUST-0009,Credit,2023-02-06,closed,AUD
ACC-0051,CUST-0031,Everyday,2025-01-12,active,AUD
ACC-0052,CUST-0051,Savings,2024-03-09,active,AUD
ACC-0053,CUST-0039,Credit,2021-11-01,active,AUD
ACC-0054,CUST-0060,Everyday,2025-07-12,dormant,AUD
ACC-0055,CUST-0013,Everyday,2025-11-09,active,AUD
ACC-0056,CUST-0037,Savings,2022-04-14,active,AUD
ACC-0057,CUST-0012,Credit,2024-05-24,active,AUD
ACC-0058,CUST-0034,Credit,2024-06-29,active,AUD
ACC-0059,CUST-0012,Everyday,2025-03-12,active,AUD
ACC-0060,CUST-9999,Savings,2025-11-11,active,AUD
ACC-0061,CUST-0116,Credit,2021-01-27,active,AUD
ACC-0062,CUST-0005,Credit,2025-08-12,active,AUD
ACC-0063,CUST-0098,Debit,2025-11-24,active,AUD
ACC-0064,CUST-0035,Savings,2026-02-10,closed,AUD
ACC-0065,CUST-0112,Everyday,2024-06-23,active,AUD
ACC-0066,CUST-0003,Savings,2022-06-22,active,AUD
ACC-0067,CUST-0091,Debit,2025-01-21,active,AUD
ACC-0068,CUST-0009,Debit,2024-03-15,dormant,AUD
ACC-0069,CUST-0150,Debit,2022-05-28,active,AUD
ACC-0070,CUST-0015,Everyday,2021-07-04,active,AUD
ACC-0071,CUST-0089,Savings,2024-10-26,active,AUD
ACC-0072,CUST-0082,Everyday,2023-08-30,active,AUD
ACC-0073,CUST-0008,Savings,2021-12-20,active,AUD
ACC-0074,CUST-0135,Savings,2024-04-20,active,AUD
ACC-0075,CUST-0006,Everyday,2022-09-06,active,AUD
ACC-0076,CUST-0146,Everyday,2025-09-17,active,AUD
ACC-0077,CUST-0053,Savings,2021-04-18,active,AUD
ACC-0078,CUST-0004,Debit,2022-08-11,active,AUD
ACC-0079,CUST-9999,Credit,2021-02-06,active,AUD
ACC-0080,CUST-0018,Debit,2024-12-23,active,AUD
ACC-0081,CUST-0148,Everyday,2026-06-21,active,AUD
ACC-0082,CUST-0022,Everyday,2025-10-27,active,AUD
ACC-0083,CUST-0062,Everyday,2026-01-02,active,AUD
ACC-0084,CUST-0042,Everyday,2023-06-11,active,AUD
ACC-0085,CUST-0133,Credit,2025-06-29,active,AUD
ACC-0086,CUST-0141,Credit,2024-03-06,closed,AUD
ACC-0087,CUST-0042,Savings,2023-07-05,active,AUD
ACC-0088,CUST-0071,Debit,2025-12-23,frozen,AUD
ACC-0089,CUST-0071,Debit,2025-03-26,active,AUD
ACC-0090,CUST-0077,Everyday,2021-04-17,active,AUD
ACC-0091,CUST-0091,Everyday,2021-11-28,active,AUD
ACC-0092,CUST-0009,Debit,2024-10-28,frozen,AUD
ACC-0093,CUST-0144,Debit,2021-10-15,active,AUD
ACC-0094,CUST-0088,Savings,2027-04-28,dormant,AUD
ACC-0095,CUST-9999,Everyday,2025-08-18,active,AUD
ACC-0096,CUST-0150,Everyday,2022-08-29,closed,AUD
ACC-0097,CUST-0006,Debit,2023-03-27,active,AUD
ACC-0098,CUST-0004,Debit,2021-11-29,active,AUD
ACC-0099,CUST-0030,Everyday,2025-04-22,active,AUD
ACC-0100,CUST-0042,Debit,2022-07-31,active,AUD
ACC-0101,CUST-0006,Credit,2024-02-27,active,AUD
ACC-0102,CUST-0081,Everyday,2026-02-06,active,AUD
ACC-0103,CUST-0071,Everyday,2026-08-16,active,AUD
ACC-0104,CUST-0022,Debit,2026-01-20,dormant,AUD
ACC-0105,CUST-0089,Debit,2024-10-29,active,AUD
ACC-0106,CUST-0114,Credit,2022-08-31,active,AUD
ACC-0107,CUST-0146,Credit,2026-01-03,active,AUD
ACC-0108,CUST-0080,Everyday,2022-05-24,active,AUD
ACC-0109,CUST-0138,Savings,2025-03-09,active,AUD
ACC-0110,CUST-0126,Credit,2021-07-20,active,AUD
ACC-0111,CUST-0013,Everyday,2022-01-17,active,AUD
ACC-0112,CUST-9999,Credit,2022-10-15,active,AUD
ACC-0113,CUST-0106,Everyday,2022-05-20,active,AUD
ACC-0114,CUST-0095,Debit,2024-05-31,active,AUD
ACC-0115,CUST-9999,Savings,2025-10-03,active,AUD
ACC-0116,CUST-9999,Debit,2023-02-25,active,AUD
ACC-0117,CUST-0084,Everyday,2025-01-20,active,AUD
ACC-0118,CUST-0123,Everyday,2022-09-05,closed,AUD
ACC-0119,CUST-0085,Everyday,2026-05-14,active,AUD
ACC-0120,CUST-0026,Credit,2023-06-26,dormant,AUD
ACC-0121,CUST-0032,Savings,2023-09-25,active,AUD
ACC-0122,CUST-0094,Debit,2021-07-07,active,AUD
ACC-0123,CUST-0014,Everyday,2023-12-10,active,AUD
ACC-0124,CUST-0105,Credit,2023-04-08,dormant,AUD
ACC-0125,CUST-0074,Everyday,2021-02-28,active,AUD
ACC-0126,CUST-0023,Savings,2021-04-11,active,AUD
ACC-0127,CUST-0100,Everyday,2021-04-21,dormant,AUD
ACC-0128,CUST-0127,Everyday,2022-10-27,active,AUD
ACC-0129,CUST-0070,Savings,2021-06-12,active,AUD
ACC-0130,CUST-0058,Credit,2021-09-30,active,AUD
ACC-0131,CUST-0136,Savings,2024-05-09,active,AUD
ACC-0132,CUST-0045,Credit,2023-05-12,active,AUD
ACC-0133,CUST-0009,Everyday,2024-08-30,active,AUD
ACC-0134,CUST-0051,Everyday,2023-12-19,active,AUD
ACC-0135,CUST-0051,Debit,2025-03-05,active,AUD
ACC-0136,CUST-0090,Savings,2021-09-27,active,AUD
ACC-0137,CUST-0119,Savings,2021-04-17,active,AUD
ACC-0138,CUST-0130,Everyday,2027-04-21,active,AUD
ACC-0139,CUST-0142,Debit,2023-12-17,frozen,AUD
ACC-0140,CUST-0082,Credit,2024-03-08,active,AUD
ACC-0141,CUST-0027,Debit,2021-07-13,dormant,AUD
ACC-0142,CUST-0011,Debit,2021-09-16,active,AUD
ACC-0143,CUST-0071,Everyday,2024-07-05,active,AUD
ACC-0144,CUST-0047,Savings,2022-06-15,active,AUD
ACC-0145,CUST-0066,Debit,2024-12-03,active,AUD
ACC-0146,CUST-0079,Debit,2022-12-13,active,AUD
ACC-0147,CUST-0013,Savings,2022-02-27,closed,AUD
ACC-0148,CUST-0128,Savings,2025-07-14,dormant,AUD
ACC-0149,CUST-0007,Credit,2025-05-08,active,AUD
ACC-0150,CUST-0044,Savings,2024-12-26,active,AUD
ACC-0151,CUST-0127,Credit,2022-03-28,active,AUD
ACC-0152,CUST-0148,Debit,2027-04-21,active,AUD
ACC-0153,CUST-0081,Credit,2022-11-22,active,AUD
ACC-0154,CUST-0017,Everyday,2025-09-19,active,AUD
ACC-0155,CUST-0135,Credit,2025-01-19,active,AUD
ACC-0156,CUST-0085,Savings,2026-10-27,active,AUD
ACC-0157,CUST-0081,Credit,2026-04-01,active,AUD
ACC-0158,CUST-0048,Credit,2026-02-01,active,AUD
ACC-0159,CUST-0013,Savings,2022-09-07,active,AUD
ACC-0160,CUST-0010,Debit,2021-09-21,dormant,AUD
ACC-0161,CUST-0149,Everyday,2025-06-03,active,AUD
ACC-0162,CUST-0048,Savings,2023-04-09,active,AUD
ACC-0163,CUST-0016,Savings,2022-08-23,active,AUD
ACC-0164,CUST-0071,Debit,2024-01-10,frozen,AUD
ACC-0165,CUST-0058,Credit,2026-05-27,active,AUD
ACC-0166,CUST-0139,Savings,2026-07-30,active,AUD
ACC-0167,CUST-0052,Everyday,2023-01-06,active,AUD
ACC-0168,CUST-0135,Credit,2024-02-12,active,AUD
ACC-0169,CUST-0137,Savings,2021-07-07,active,AUD
ACC-0170,CUST-0013,Debit,2023-01-14,closed,AUD
ACC-0171,CUST-0012,Savings,2025-07-31,active,AUD
ACC-0172,CUST-0059,Savings,2021-05-15,active,AUD
ACC-0173,CUST-9999,Debit,2025-04-03,active,AUD
ACC-0174,CUST-0095,Everyday,2022-05-17,active,AUD
ACC-0175,CUST-0078,Savings,2025-06-03,active,AUD
ACC-0176,CUST-0138,Savings,2025-04-20,active,AUD
ACC-0177,CUST-0043,Debit,2023-03-14,active,AUD
ACC-0178,CUST-9999,Debit,2021-09-23,active,AUD
ACC-0179,CUST-9999,Everyday,2022-07-08,active,AUD
ACC-0180,CUST-0107,Savings,2021-06-07,active,AUD
ACC-0181,CUST-0105,Credit,2023-10-03,dormant,AUD
ACC-0182,CUST-9999,Credit,2022-07-18,active,AUD
ACC-0183,CUST-0142,Everyday,2024-03-25,dormant,AUD
ACC-0184,CUST-0111,Debit,2021-09-27,active,AUD
ACC-0185,CUST-0120,Credit,2022-01-22,active,AUD
ACC-0186,CUST-0124,Credit,2025-01-27,closed,AUD
ACC-0187,CUST-0080,Credit,2023-02-07,active,AUD
ACC-0188,CUST-0041,Savings,2021-10-09,active,AUD
ACC-0189,CUST-0150,Savings,2025-08-07,active,AUD
ACC-0190,CUST-0063,Debit,2021-11-15,active,AUD
ACC-0191,CUST-0075,Everyday,2022-06-02,active,AUD
ACC-0192,CUST-0068,Debit,2024-05-27,active,AUD
ACC-0193,CUST-0097,Debit,2025-10-05,active,AUD
ACC-0194,CUST-0070,Debit,2025-08-15,active,AUD
ACC-0195,CUST-0140,Credit,2025-05-09,active,AUD
ACC-0196,CUST-0038,Debit,2022-08-03,dormant,AUD
ACC-0197,CUST-0091,Everyday,2023-02-28,active,AUD
ACC-0198,CUST-9999,Everyday,2024-04-18,active,AUD
ACC-0199,CUST-0106,Debit,2024-04-13,active,AUD
ACC-0200,CUST-0072,Debit,2024-04-12,dormant,AUD
ACC-0201,CUST-0071,Debit,2021-08-15,active,AUD
ACC-0202,CUST-0083,Debit,2026-11-09,frozen,AUD
ACC-0203,CUST-0098,Credit,2021-09-29,active,AUD
ACC-0204,CUST-0091,Savings,2024-08-13,frozen,AUD
ACC-0205,CUST-0022,Debit,2022-04-21,active,AUD
ACC-0206,CUST-0032,Credit,2021-08-24,dormant,AUD
ACC-0207,CUST-0109,Debit,2024-12-13,active,AUD
ACC-0208,CUST-0123,Debit,2026-04-03,active,AUD
ACC-0209,CUST-0026,Everyday,2023-07-17,dormant,AUD
ACC-0210,CUST-0050,Credit,2021-12-25,active,AUD
ACC-0211,CUST-0023,Everyday,2026-02-12,closed,AUD
ACC-0212,CUST-0100,Credit,2024-08-08,active,AUD
ACC-0213,CUST-0149,Savings,2021-05-08,closed,AUD
ACC-0214,CUST-9999,Everyday,2021-02-12,frozen,AUD
ACC-0215,CUST-0140,Credit,2021-06-28,active,AUD
ACC-0216,CUST-9999,Credit,2021-03-28,active,AUD
ACC-0217,CUST-0043,Credit,2024-01-27,active,AUD
ACC-0218,CUST-0055,Debit,2023-11-09,closed,AUD
ACC-0219,CUST-0137,Credit,2021-03-31,active,AUD
ACC-0220,CUST-0001,Credit,2027-01-16,closed,AUD
ACC-0221,CUST-0009,Savings,2023-07-07,active,AUD
ACC-0222,CUST-0138,Credit,2023-07-19,dormant,AUD
ACC-0223,CUST-0106,Savings,2022-10-11,dormant,AUD
ACC-0224,CUST-0132,Credit,2022-06-17,active,AUD
ACC-0225,CUST-9999,Credit,2021-05-14,active,AUD
