merchant_id,name,mcc,country,risk_rating,status
MCH-0136,"Stewart, Mann and Hoffman",5912,NZ,high,closed
MCH-0137,"Buchanan, Walker and Chapman",5411,GB,low,active
MCH-0138,Gray Ltd,5411,US,H,active
MCH-0139,"Phillips, Thompson and Smith",5499,GB,high,active
MCH-0140,"Fry, Myers and Gamble",5411,SG,high,active
MCH-0141,"Johnson, Guzman and Mccall",5732,NZ,High,active
MCH-0142,"Walker, Cunningham and Zuniga",5732,US,medium,active
MCH-0143,Rivera Inc,5732,NZ,low,active
MCH-0144,Reed LLC,5732,SG,medium,active
MCH-0145,Fields Inc,5732,SG,high,active
MCH-0146,"Santiago, Daniel and Rogers",5812,NZ,medium,active
MCH-0147,Baker and Sons,5411,SG,low,active
MCH-0148,"Jones, Scott and Rodriguez",7011,AU,medium,active
MCH-0149,Williams Group,5499,US,low,active
MCH-0150,"Barnes, Jackson and Gutierrez",5812,US,H,active
MCH-0151,Bell-Bennett,7011,NZ,high,active
MCH-0152,Kramer-Lane,5912,AU,low,active
MCH-0153,"Perez, Hayes and Lloyd",5499,AU,high,active
MCH-0154,Phillips LLC,7011,GB,high,active
MCH-0155,Lynn-Jones,5812,US,high,active
MCH-0156,Barron and Sons,5411,AU,medium,active
MCH-0157,"Jones, Mcmahon and Spence",5411,US,medium,active
MCH-0158,Wheeler-Austin,5812,NZ,medium,active
MCH-0159,Bush-Reynolds,5912,GB,medium,active
MCH-0160,"Martin, Preston and Moore",5499,AU,low,active
MCH-0161,Rivera and Sons,5812,NZ,medium,active
MCH-0162,Terry-Bowen,5812,GB,medium,active
MCH-0163,"Fernandez, Guerrero and Evans",7011,SG,low,active
MCH-0164,Williams PLC,5912,US,high,active
MCH-0165,"Larsen, Hernandez and Ward",5411,AU,high,active
MCH-0166,Miller-Colon,7011,AU,H,active
MCH-0167,"Greene, Gonzalez and Johnson",7011,GB,High,active
MCH-0168,Little Inc,5812,NZ,medium,suspended
MCH-0169,Anthony-Parker,7011,NZ,high,active
MCH-0170,Ruiz-Jacobson,5732,GB,low,active
MCH-0171,Davis-Stephens,5732,NZ,HIGH,suspended
MCH-0172,Watson Group,5812,US,low,active
MCH-0173,Lopez-Williams,5812,GB,high,active
MCH-0174,Marshall-Perez,5411,SG,medium,active
MCH-0175,Elliott-Hernandez,5912,NZ,high,active
MCH-0176,"Contreras, Miller and Cooper",5411,US,low,suspended
MCH-0177,"Gutierrez, Avila and Perez",7011,SG,high,active
MCH-0178,Randall PLC,5411,NZ,medium,closed
MCH-0179,Sheppard-Mcdaniel,5499,SG,high,suspended
MCH-0180,Armstrong-Young,5912,US,medium,active
MCH-0181,Miller-Orr,5732,NZ,low,active
MCH-0182,"Johnson, Duncan and Black",5411,US,H,active
MCH-0183,"Byrd, Oliver and Martinez",5912,SG,low,suspended
MCH-0184,Thompson-Joyce,5411,NZ,medium,suspended
MCH-0185,Stokes and Sons,5499,NZ,M,active
MCH-0186,Henderson Ltd,5732,NZ,low,active
MCH-0187,Harris-Carson,5732,SG,high,active
MCH-0188,Flowers LLC,5411,AU,high,active
MCH-0189,Bartlett-Sloan,5912,SG,high,active
MCH-0190,Miller PLC,5411,NZ,medium,closed
MCH-0191,Arnold-Gates,5411,AU,medium,active
MCH-0192,"Ellis, Marks and Buchanan",5499,NZ,medium,active
MCH-0193,"Matthews, Harrington and Rodriguez",5732,US,high,active
MCH-0194,Hernandez PLC,5812,US,medium,closed
MCH-0195,"Chang, Ayers and Buckley",5812,SG,HIGH,active
MCH-0196,"Chan, Floyd and Dillon",5499,AU,medium,active
MCH-0197,Humphrey-Baker,7011,AU,medium,active
MCH-0198,"Washington, Lynch and Johnson",5411,NZ,high,active
MCH-0199,Powell-Montgomery,5732,US,high,active
MCH-0200,"Steele, Williams and Preston",7011,NZ,high,active
