attempt_id,transaction_id,decision,decline_reason,auth_ts
AUTH-000039,TXN-001487,approved,,2026-06-28T03:33:29Z
AUTH-000040,TXN-001861,approved,,2026-06-11T12:03:20Z
AUTH-000041,TXN-001701,approved,,2026-06-27T00:43:57Z
AUTH-000042,TXN-000006,approved,,2026-06-28T22:43:42Z
AUTH-000043,TXN-000247,approved,,2026-06-22T03:55:58Z
AUTH-000044,TXN-000186,declined,do_not_honour,2026-06-24T19:14:04Z
AUTH-000045,TXN-000081,approved,,2026-06-07T14:12:42Z
AUTH-000046,TXN-000610,approved,,2027-03-16T01:19:14Z
AUTH-000047,TXN-000189,approved,,2026-06-15T06:13:37Z
AUTH-000048,TXN-999999,approved,,2026-06-22T06:03:52Z
AUTH-000049,TXN-001964,approved,,2026-06-17T10:56:33Z
AUTH-000050,TXN-000349,approved,,2026-07-02T21:03:19Z
AUTH-000051,TXN-001435,approved,,2026-06-05T18:57:22Z
AUTH-000052,TXN-000214,approved,,2026-06-25T08:22:26Z
AUTH-000053,TXN-001596,approved,,2026-07-05T13:25:20Z
AUTH-000054,TXN-001941,approved,,2026-06-25T10:43:53Z
AUTH-000055,TXN-000367,approved,,2026-06-21T16:08:51Z
AUTH-000056,TXN-001230,approved,,2026-06-28T21:26:46Z
AUTH-000057,TXN-001244,approved,,2026-06-10T15:15:45Z
AUTH-000058,TXN-000508,approved,,2026-06-24T20:53:08Z
AUTH-000059,TXN-000984,approved,,2026-06-08T17:42:17Z
AUTH-000060,TXN-000203,approved,,2026-07-01T14:30:06Z
AUTH-000061,TXN-000224,approved,,2026-07-03T02:07:56Z
AUTH-000062,TXN-000299,approved,,2026-07-05T04:56:46Z
AUTH-000063,TXN-001704,approved,,2026-07-01T05:23:05Z
AUTH-000064,TXN-999999,approved,,2026-06-27T10:59:22Z
AUTH-000065,TXN-001131,approved,,2026-06-18T09:49:49Z
AUTH-000066,TXN-001335,approved,,2026-06-22T21:08:50Z
AUTH-000067,TXN-000950,approved,,2026-06-21T03:56:03Z
AUTH-000068,TXN-001075,approved,,2026-06-12T13:39:29Z
AUTH-000069,TXN-000741,approved,,2026-06-22T15:14:54Z
AUTH-000070,TXN-000383,approved,,2026-06-10T22:29:52Z
AUTH-000071,TXN-001930,approved,,2026-06-12T12:30:42Z
AUTH-000072,TXN-000242,approved,,2026-06-14T12:13:35Z
AUTH-000073,TXN-000833,approved,,2026-06-24T18:12:07Z
AUTH-000074,TXN-000885,approved,,2026-06-15T08:58:17Z
AUTH-000075,TXN-001281,approved,,2026-07-01T06:21:58Z
AUTH-000076,TXN-001587,approved,,2026-06-19T03:52:15Z
AUTH-000077,TXN-000454,approved,,2026-07-02T05:36:26Z
AUTH-000078,TXN-000720,approved,,2026-06-24T05:32:06Z
AUTH-000079,TXN-001585,approved,,2026-06-23T14:59:56Z
AUTH-000080,TXN-000366,approved,,2026-06-19T12:53:43Z
AUTH-000081,TXN-000542,approved,,2026-06-16T09:56:59Z
AUTH-000082,TXN-000531,approved,,2026-06-18T06:25:55Z
AUTH-000083,TXN-000406,approved,,2026-06-08T23:13:44Z
AUTH-000084,TXN-001908,approved,,2026-06-28T16:12:31Z
AUTH-000085,TXN-001949,approved,,2026-06-07T22:11:33Z
AUTH-000086,TXN-001762,approved,,2026-07-05T13:02:28Z
AUTH-000087,TXN-000210,approved,,2026-07-11T06:50:23Z
AUTH-000088,TXN-001005,declined,incorrect_pin,2026-06-15T15:40:51Z
AUTH-000089,TXN-001414,declined,incorrect_pin,2026-07-24T19:01:59Z
AUTH-000090,TXN-001195,approved,,2026-10-19T06:09:06Z
AUTH-000091,TXN-001821,approved,,2026-06-12T16:56:00Z
AUTH-000092,TXN-000574,approved,,2026-06-14T19:16:31Z
AUTH-000093,TXN-001358,approved,,2026-06-10T08:13:11Z
AUTH-000094,TXN-000707,approved,,2026-07-01T07:51:19Z
AUTH-000095,TXN-000962,approved,,2026-06-15T02:44:56Z
AUTH-000096,TXN-001943,approved,,2026-07-02T15:42:01Z
AUTH-000097,TXN-000232,approved,,2026-06-07T13:15:36Z
AUTH-000098,TXN-000055,approved,,2026-06-17T16:58:57Z
AUTH-000099,TXN-000116,approved,,2026-06-19T11:53:13Z
AUTH-000100,TXN-000949,approved,,2026-06-24T17:38:07Z
AUTH-000101,TXN-001055,approved,,2026-07-03T13:08:40Z
AUTH-000102,TXN-000340,approved,,2026-06-16T08:11:39Z
AUTH-000103,TXN-001421,approved,,2026-06-13T15:13:36Z
AUTH-000104,TXN-000185,approved,,2026-06-15T18:33:13Z
AUTH-000105,TXN-999999,approved,,2026-07-31T02:21:00Z
AUTH-000106,TXN-001929,approved,,2026-06-14T14:36:44Z
AUTH-000107,TXN-000545,approved,,2026-06-07T05:43:04Z
AUTH-000108,TXN-999999,declined,suspected_fraud,2026-10-26T06:11:00Z
AUTH-000109,TXN-001100,approved,,2026-06-09T12:38:16Z
AUTH-000110,TXN-001300,approved,,2026-08-03T01:17:32Z
AUTH-000111,TXN-000229,approved,,2026-06-22T00:56:17Z
AUTH-000112,TXN-001791,approved,,2026-06-19T05:59:55Z
AUTH-000113,TXN-001725,approved,,2026-06-21T08:45:10Z
AUTH-000114,TXN-000229,approved,,2026-06-22T00:56:17Z
AUTH-000115,TXN-000919,approved,,2026-07-03T16:07:20Z
AUTH-000116,TXN-001572,declined,expired_card,2026-07-05T22:20:33Z
AUTH-000117,TXN-000413,approved,,2026-07-05T08:34:57Z
AUTH-000118,TXN-000304,approved,,2026-06-23T07:10:38Z
AUTH-000119,TXN-000695,declined,suspected_fraud,2026-06-29T10:32:49Z
AUTH-000120,TXN-000961,declined,insufficient_funds,2026-06-29T10:13:03Z
AUTH-000121,TXN-001468,approved,,2026-06-14T15:16:59Z
AUTH-000122,TXN-001892,approved,,2026-06-19T23:25:37Z
AUTH-000123,TXN-000892,approved,,2026-06-23T22:54:07Z
AUTH-000124,TXN-000359,approved,,2026-07-03T15:29:54Z
AUTH-000125,TXN-001964,approved,,2026-06-17T10:56:33Z
AUTH-000126,TXN-000326,approved,,2026-06-24T03:08:33Z
AUTH-000127,TXN-001763,approved,,2026-06-20T18:51:12Z
AUTH-000128,TXN-001042,approved,,2026-06-19T18:10:07Z
AUTH-000129,TXN-000176,approved,,2026-06-11T06:35:43Z
AUTH-000130,TXN-000052,approved,,2026-11-12T19:03:38Z
AUTH-000131,TXN-000084,approved,,2026-07-05T10:53:21Z
AUTH-000132,TXN-001223,approved,,2026-06-21T02:04:33Z
AUTH-000133,TXN-001847,declined,expired_card,2026-08-25T12:42:55Z
AUTH-000134,TXN-001321,approved,,2026-06-22T23:26:28Z
AUTH-000135,TXN-001252,declined,do_not_honour,2026-06-05T05:41:44Z
AUTH-000136,TXN-000693,approved,,2026-07-01T21:00:38Z
AUTH-000137,TXN-000799,approved,,2026-06-26T15:49:09Z
AUTH-000138,TXN-001284,approved,,2026-07-01T01:13:40Z
AUTH-000139,TXN-000203,approved,,2026-07-01T14:30:06Z
AUTH-000140,TXN-000552,approved,,2026-06-06T21:32:09Z
AUTH-000141,TXN-999999,approved,,2026-07-03T04:05:44Z
AUTH-000142,TXN-001787,declined,expired_card,2026-06-19T06:37:41Z
AUTH-000143,TXN-000215,approved,,2026-07-02T22:40:43Z
AUTH-000144,TXN-000980,approved,,2026-06-28T08:57:59Z
AUTH-000145,TXN-000073,approved,,2026-06-28T20:48:55Z
AUTH-000146,TXN-001061,approved,,2026-06-27T17:30:00Z
AUTH-000147,TXN-001056,approved,,2026-06-27T12:38:41Z
AUTH-000148,TXN-001199,declined,do_not_honour,2026-06-13T18:39:26Z
AUTH-000149,TXN-000064,approved,,2026-06-05T08:14:40Z
AUTH-000150,TXN-001228,approved,,2026-07-02T04:10:40Z
AUTH-000151,TXN-000829,approved,,2026-07-03T02:41:04Z
AUTH-000152,TXN-999999,approved,,2026-06-15T13:01:37Z
AUTH-000153,TXN-999999,approved,,2026-06-20T11:03:46Z
AUTH-000154,TXN-001256,approved,,2026-06-13T15:12:56Z
AUTH-000155,TXN-001691,declined,incorrect_pin,2027-05-28T12:10:51Z
AUTH-000156,TXN-000752,approved,,2026-07-05T21:41:54Z
AUTH-000157,TXN-000772,approved,,2026-07-05T03:51:02Z
AUTH-000158,TXN-000361,approved,,2026-11-18T11:35:55Z
AUTH-000159,TXN-001508,approved,,2026-06-10T07:31:02Z
AUTH-000160,TXN-000381,approved,,2026-06-17T06:58:46Z
AUTH-000161,TXN-000725,approved,,2026-06-18T19:33:42Z
AUTH-000162,TXN-001699,approved,,2026-06-14T12:27:14Z
AUTH-000163,TXN-001934,approved,,2026-06-18T15:37:39Z
AUTH-000164,TXN-001758,approved,,2026-06-20T23:39:39Z
AUTH-000165,TXN-000381,approved,,2026-06-17T06:58:46Z
AUTH-000166,TXN-000271,approved,,2026-06-10T02:49:31Z
AUTH-000167,TXN-001613,declined,incorrect_pin,2026-06-07T08:15:39Z
AUTH-000168,TXN-001705,approved,,2026-06-23T06:29:04Z
AUTH-000169,TXN-001551,approved,,2026-06-12T21:53:45Z
AUTH-000170,TXN-000866,approved,,2026-07-01T04:58:14Z
AUTH-000171,TXN-001279,approved,,2026-07-21T22:02:09Z
AUTH-000172,TXN-001423,declined,insufficient_funds,2026-06-11T04:03:01Z
AUTH-000173,TXN-000046,approved,,2026-06-20T15:21:29Z
AUTH-000174,TXN-000545,approved,,2026-06-07T05:43:04Z
AUTH-000175,TXN-001927,approved,,2026-07-22T00:39:59Z
AUTH-000176,TXN-001135,approved,,2026-06-17T13:42:49Z
AUTH-000177,TXN-001029,approved,,2026-06-25T09:57:21Z
AUTH-000178,TXN-000013,approved,,2026-06-05T21:52:30Z
AUTH-000179,TXN-001317,approved,,2026-06-13T12:34:16Z
AUTH-000180,TXN-001472,approved,,2026-06-08T01:16:29Z
AUTH-000181,TXN-000479,declined,suspected_fraud,2027-02-26T06:35:10Z
AUTH-000182,TXN-001199,approved,,2026-06-13T18:39:26Z
AUTH-000183,TXN-000549,approved,,2026-06-10T14:42:26Z
AUTH-000184,TXN-000075,approved,,2026-06-15T19:59:44Z
AUTH-000185,TXN-000334,approved,,2026-07-28T00:42:36Z
AUTH-000186,TXN-000816,approved,,2026-06-30T17:46:56Z
AUTH-000187,TXN-000993,approved,,2026-06-25T11:31:55Z
AUTH-000188,TXN-001831,approved,,2026-06-12T18:09:51Z
AUTH-000189,TXN-000929,approved,,2026-06-17T12:31:15Z
AUTH-000190,TXN-000703,declined,insufficient_funds,2026-07-03T00:20:28Z
AUTH-000191,TXN-000040,approved,,2026-06-17T13:50:31Z
AUTH-000192,TXN-999999,approved,,2026-06-26T07:21:50Z
AUTH-000193,TXN-001151,approved,,2026-06-15T16:09:43Z
AUTH-000194,TXN-000461,declined,insufficient_funds,2026-06-23T01:26:10Z
AUTH-000195,TXN-001311,approved,,2027-01-30T18:52:24Z
AUTH-000196,TXN-999999,approved,,2026-07-02T19:13:43Z
AUTH-000197,TXN-001145,approved,,2026-06-09T15:11:39Z
AUTH-000198,TXN-001828,approved,,2026-06-24T11:19:25Z
AUTH-000199,TXN-001459,approved,,2027-02-20T00:27:53Z
AUTH-000200,TXN-000978,approved,,2026-07-02T04:14:38Z
AUTH-000201,TXN-001270,approved,,2026-06-07T10:49:18Z
AUTH-000202,TXN-000977,approved,,2026-06-15T12:19:31Z
AUTH-000203,TXN-000787,approved,,2026-06-28T12:45:17Z
AUTH-000204,TXN-001804,approved,,2026-06-25T20:55:15Z
AUTH-000205,TXN-000487,approved,,2026-06-26T16:17:16Z
AUTH-000206,TXN-001517,approved,,2026-06-09T07:38:28Z
AUTH-000207,TXN-000903,approved,,2026-06-08T07:56:09Z
AUTH-000208,TXN-000364,approved,,2026-07-26T08:35:34Z
AUTH-000209,TXN-999999,approved,,2026-11-12T19:03:38Z
AUTH-000210,TXN-000825,approved,,2026-06-08T09:58:54Z
AUTH-000211,TXN-000203,approved,,2026-07-01T14:30:06Z
AUTH-000212,TXN-001949,approved,,2026-06-07T22:11:33Z
AUTH-000213,TXN-001331,approved,,2026-06-05T13:33:50Z
AUTH-000214,TXN-001980,approved,,2026-06-11T16:46:09Z
AUTH-000215,TXN-000821,approved,,2026-06-16T22:35:06Z
AUTH-000216,TXN-001628,approved,,2026-06-24T00:44:23Z
AUTH-000217,TXN-000986,approved,,2026-06-11T19:37:52Z
AUTH-000218,TXN-999999,approved,,2026-06-24T04:42:04Z
AUTH-000219,TXN-000569,declined,incorrect_pin,2026-06-15T03:25:54Z
AUTH-000220,TXN-001580,approved,,2026-06-22T23:55:17Z
AUTH-000221,TXN-001047,approved,,2026-06-15T01:32:11Z
AUTH-000222,TXN-001750,approved,,2026-06-28T18:43:37Z
AUTH-000223,TXN-001535,approved,,2026-06-17T03:25:57Z
AUTH-000224,TXN-001052,approved,,2026-06-25T09:34:42Z
AUTH-000225,TXN-001925,approved,,2026-06-21T01:45:09Z
AUTH-000226,TXN-001077,approved,,2026-06-09T08:01:50Z
AUTH-000227,TXN-000303,approved,,2026-06-18T23:21:25Z
AUTH-000228,TXN-001016,approved,,2026-06-28T11:52:01Z
AUTH-000229,TXN-001486,declined,do_not_honour,2026-06-11T10:46:10Z
AUTH-000230,TXN-001939,approved,,2026-06-29T09:23:14Z
AUTH-000231,TXN-000406,approved,,2026-06-08T23:13:44Z
AUTH-000232,TXN-000812,approved,,2026-06-19T07:35:33Z
AUTH-000233,TXN-001276,declined,incorrect_pin,2026-07-13T22:49:29Z
AUTH-000234,TXN-000808,approved,,2026-06-17T12:15:42Z
AUTH-000235,TXN-001047,approved,,2026-06-15T01:32:11Z
AUTH-000236,TXN-000277,declined,insufficient_funds,2026-06-07T14:17:54Z
AUTH-000237,TXN-000424,approved,,2026-06-28T01:37:22Z
AUTH-000238,TXN-000940,approved,,2026-07-22T14:39:07Z
AUTH-000239,TXN-000975,approved,,2026-06-06T19:40:53Z
AUTH-000240,TXN-001717,approved,,2026-06-30T19:47:10Z
AUTH-000241,TXN-001550,declined,suspected_fraud,2026-06-11T18:26:27Z
AUTH-000242,TXN-000345,approved,,2026-06-20T22:56:30Z
AUTH-000243,TXN-000626,approved,,2026-06-08T15:04:03Z
AUTH-000244,TXN-000595,approved,,2027-03-27T21:49:52Z
AUTH-000245,TXN-000005,approved,,2026-06-05T13:14:54Z
AUTH-000246,TXN-001181,approved,,2026-06-09T22:53:47Z
AUTH-000247,TXN-001309,approved,,2026-06-25T15:32:47Z
AUTH-000248,TXN-000755,declined,incorrect_pin,2026-06-14T21:40:46Z
AUTH-000249,TXN-001851,declined,expired_card,2026-06-10T12:08:27Z
AUTH-000250,TXN-001892,approved,,2026-06-19T23:25:37Z
AUTH-000251,TXN-001059,approved,,2026-06-14T22:03:27Z
AUTH-000252,TXN-001769,approved,,2026-06-14T09:43:19Z
AUTH-000253,TXN-001643,approved,,2026-07-03T18:18:04Z
AUTH-000254,TXN-000021,approved,,2026-07-09T00:38:17Z
AUTH-000255,TXN-001281,approved,,2026-07-01T06:21:58Z
AUTH-000256,TXN-000880,approved,,2026-06-20T18:50:28Z
AUTH-000257,TXN-001057,approved,,2026-06-16T17:22:06Z
AUTH-000258,TXN-000166,approved,,2026-06-15T09:51:01Z
AUTH-000259,TXN-000230,approved,,2026-06-14T06:39:00Z
AUTH-000260,TXN-000377,approved,,2026-06-26T22:08:14Z
AUTH-000261,TXN-001427,approved,,2026-06-27T12:00:42Z
AUTH-000262,TXN-000074,approved,,2026-06-25T22:05:36Z
AUTH-000263,TXN-000019,approved,,2026-07-04T07:19:52Z
AUTH-000264,TXN-001350,declined,insufficient_funds,2027-03-08T22:38:30Z
AUTH-000265,TXN-000703,approved,,2026-07-03T00:20:28Z
AUTH-000266,TXN-000853,approved,,2026-06-25T03:44:41Z
AUTH-000267,TXN-001497,approved,,2026-06-19T22:32:26Z
AUTH-000268,TXN-000810,approved,,2026-07-05T21:03:12Z
AUTH-000269,TXN-001877,approved,,2026-07-03T23:51:25Z
AUTH-000270,TXN-000935,declined,suspected_fraud,2026-06-26T01:10:37Z
AUTH-000271,TXN-001079,approved,,2026-06-28T01:06:49Z
AUTH-000272,TXN-001804,approved,,2026-06-25T20:55:15Z
AUTH-000273,TXN-001231,approved,,2026-07-20T06:07:03Z
AUTH-000274,TXN-001203,declined,expired_card,2026-06-15T09:40:09Z
AUTH-000275,TXN-001927,approved,,2026-06-29T10:32:55Z
AUTH-000276,TXN-000324,approved,,2026-06-07T08:39:55Z
AUTH-000277,TXN-000796,approved,,2026-07-03T07:54:25Z
AUTH-000278,TXN-001408,approved,,2026-06-28T18:25:52Z
AUTH-000279,TXN-001705,approved,,2026-06-23T06:29:04Z
AUTH-000280,TXN-000210,approved,,2026-07-02T23:20:22Z
AUTH-000281,TXN-000458,approved,,2026-06-23T08:23:06Z
AUTH-000282,TXN-000445,approved,,2026-06-16T15:13:59Z
AUTH-000283,TXN-000813,approved,,2026-06-15T13:01:37Z
AUTH-000284,TXN-000630,approved,,2026-06-17T16:31:00Z
AUTH-000285,TXN-000476,approved,,2026-07-31T13:26:38Z
AUTH-000286,TXN-000893,declined,expired_card,2026-06-21T10:00:19Z
AUTH-000287,TXN-000085,approved,,2026-07-04T03:11:25Z
AUTH-000288,TXN-001276,approved,,2026-06-30T06:00:55Z
AUTH-000289,TXN-001366,approved,,2026-06-20T22:33:48Z
AUTH-000290,TXN-000362,approved,,2026-06-08T05:14:27Z
AUTH-000291,TXN-000205,approved,,2026-07-04T07:37:59Z
AUTH-000292,TXN-001951,approved,,2026-06-08T17:03:11Z
AUTH-000293,TXN-001031,approved,,2026-06-22T21:47:56Z
AUTH-000294,TXN-001969,approved,,2026-06-27T19:04:27Z
AUTH-000295,TXN-000670,approved,,2026-06-19T14:48:53Z
AUTH-000296,TXN-000499,approved,,2026-06-15T10:44:44Z
AUTH-000297,TXN-001096,approved,,2026-06-19T16:16:25Z
AUTH-000298,TXN-000244,declined,expired_card,2026-06-08T01:52:43Z
AUTH-000299,TXN-001110,declined,insufficient_funds,2026-06-30T16:25:14Z
AUTH-000300,TXN-000342,approved,,2026-06-22T13:09:20Z
AUTH-000301,TXN-001660,approved,,2026-06-14T13:24:36Z
AUTH-000302,TXN-000195,approved,,2026-06-18T11:20:04Z
AUTH-000303,TXN-001669,approved,,2026-06-12T21:35:08Z
AUTH-000304,TXN-000007,approved,,2026-06-19T09:51:12Z
AUTH-000305,TXN-001741,declined,expired_card,2026-06-13T06:21:23Z
AUTH-000306,TXN-000690,approved,,2026-06-10T12:12:46Z
AUTH-000307,TXN-001804,approved,,2026-06-25T20:55:15Z
AUTH-000308,TXN-001635,approved,,2026-07-05T13:47:45Z
AUTH-000309,TXN-001661,approved,,2026-06-06T14:44:35Z
AUTH-000310,TXN-000190,approved,,2026-07-05T07:54:50Z
AUTH-000311,TXN-000740,approved,,2026-06-25T15:28:39Z
AUTH-000312,TXN-001140,approved,,2026-06-14T09:15:14Z
AUTH-000313,TXN-001859,approved,,2026-06-08T04:27:42Z
AUTH-000314,TXN-000514,approved,,2026-06-12T19:56:26Z
AUTH-000315,TXN-001661,approved,,2026-06-06T14:44:35Z
AUTH-000316,TXN-001848,declined,do_not_honour,2026-06-30T03:15:09Z
AUTH-000317,TXN-001311,declined,insufficient_funds,2027-01-30T18:52:24Z
AUTH-000318,TXN-000496,approved,,2026-06-22T05:14:00Z
AUTH-000319,TXN-000992,approved,,2026-07-01T17:02:11Z
AUTH-000320,TXN-000787,approved,,2026-06-28T12:45:17Z
AUTH-000321,TXN-001144,approved,,2026-06-10T06:08:15Z
AUTH-000322,TXN-000571,approved,,2026-07-04T12:36:16Z
AUTH-000323,TXN-000791,approved,,2026-06-14T13:35:55Z
AUTH-000324,TXN-000620,approved,,2026-06-12T21:34:02Z
AUTH-000325,TXN-999999,approved,,2026-07-07T12:46:58Z
AUTH-000326,TXN-001904,approved,,2026-06-09T16:16:50Z
AUTH-000327,TXN-001412,approved,,2026-06-30T09:28:17Z
AUTH-000328,TXN-001215,approved,,2026-06-30T07:46:15Z
AUTH-000329,TXN-999999,approved,,2026-06-17T00:53:10Z
AUTH-000330,TXN-001801,approved,,2026-06-21T23:49:02Z
AUTH-000331,TXN-001423,approved,,2026-06-11T04:03:01Z
AUTH-000332,TXN-001197,approved,,2026-07-04T03:25:08Z
AUTH-000333,TXN-000994,approved,,2026-06-29T23:01:13Z
AUTH-000334,TXN-000095,approved,,2026-06-27T13:17:00Z
AUTH-000335,TXN-001144,approved,,2026-06-10T06:08:15Z
AUTH-000336,TXN-000389,approved,,2026-06-19T07:37:44Z
AUTH-000337,TXN-000163,approved,,2026-08-03T19:54:33Z
AUTH-000338,TXN-001001,declined,expired_card,2026-07-03T03:12:17Z
AUTH-000339,TXN-000976,approved,,2026-06-09T20:50:49Z
AUTH-000340,TXN-000754,approved,,2026-06-17T15:07:29Z
AUTH-000341,TXN-000484,approved,,2026-07-02T01:46:27Z
AUTH-000342,TXN-001632,approved,,2026-09-04T04:54:57Z
AUTH-000343,TXN-999999,approved,,2026-06-23T07:21:31Z
AUTH-000344,TXN-000026,declined,do_not_honour,2026-06-09T00:25:51Z
AUTH-000345,TXN-001046,approved,,2026-06-26T04:24:22Z
AUTH-000346,TXN-001245,approved,,2026-07-02T22:50:37Z
AUTH-000347,TXN-001096,approved,,2026-06-19T16:16:25Z
AUTH-000348,TXN-000334,approved,,2026-06-15T22:47:24Z
AUTH-000349,TXN-999999,approved,,2026-06-25T14:02:12Z
AUTH-000350,TXN-999999,declined,do_not_honour,2026-06-13T19:36:12Z
AUTH-000351,TXN-000217,declined,insufficient_funds,2026-07-02T19:22:50Z
AUTH-000352,TXN-001831,approved,,2026-06-12T18:09:51Z
AUTH-000353,TXN-000297,approved,,2026-11-15T13:11:39Z
AUTH-000354,TXN-000070,approved,,2026-06-17T17:09:50Z
AUTH-000355,TXN-000053,approved,,2026-06-18T20:29:25Z
AUTH-000356,TXN-000200,approved,,2026-06-11T17:36:36Z
AUTH-000357,TXN-000946,approved,,2026-06-13T06:50:10Z
AUTH-000358,TXN-001444,approved,,2026-06-17T10:10:19Z
AUTH-000359,TXN-000593,approved,,2026-06-26T09:28:23Z
AUTH-000360,TXN-000406,approved,,2026-06-08T23:13:44Z
AUTH-000361,TXN-001527,approved,,2026-06-25T01:52:32Z
AUTH-000362,TXN-001846,approved,,2026-06-20T23:59:15Z
AUTH-000363,TXN-000433,declined,expired_card,2026-06-20T00:42:03Z
AUTH-000364,TXN-000166,approved,,2026-06-15T09:51:01Z
AUTH-000365,TXN-000735,approved,,2026-06-18T06:16:23Z
AUTH-000366,TXN-001165,approved,,2026-06-25T09:50:17Z
AUTH-000367,TXN-001622,approved,,2026-07-03T08:37:21Z
AUTH-000368,TXN-000801,approved,,2026-06-15T15:47:27Z
AUTH-000369,TXN-001181,approved,,2026-06-09T22:53:47Z
AUTH-000370,TXN-000286,declined,incorrect_pin,2026-06-28T07:21:49Z
AUTH-000371,TXN-000237,approved,,2026-11-04T17:38:50Z
AUTH-000372,TXN-000006,declined,do_not_honour,2026-06-28T22:43:42Z
AUTH-000373,TXN-001372,approved,,2026-06-10T08:15:50Z
AUTH-000374,TXN-000230,approved,,2026-06-14T06:39:00Z
AUTH-000375,TXN-000711,declined,expired_card,2026-06-21T10:46:53Z
AUTH-000376,TXN-001136,approved,,2026-06-06T01:20:16Z
AUTH-000377,TXN-000047,approved,,2026-06-20T18:34:23Z
AUTH-000378,TXN-001882,approved,,2026-07-26T13:19:04Z
AUTH-000379,TXN-000143,approved,,2026-06-16T06:33:40Z
AUTH-000380,TXN-001938,approved,,2026-06-14T17:47:30Z
AUTH-000381,TXN-000699,approved,,2026-06-23T18:07:55Z
AUTH-000382,TXN-001534,approved,,2026-06-12T07:17:46Z
AUTH-000383,TXN-000932,approved,,2026-06-23T02:32:12Z
AUTH-000384,TXN-001084,approved,,2026-06-19T22:49:44Z
AUTH-000385,TXN-000690,approved,,2026-06-10T12:12:46Z
AUTH-000386,TXN-000871,approved,,2026-06-28T12:41:29Z
AUTH-000387,TXN-001206,approved,,2026-06-16T14:40:07Z
AUTH-000388,TXN-000331,approved,,2026-06-22T05:27:18Z
AUTH-000389,TXN-000048,approved,,2026-06-23T02:26:23Z
AUTH-000390,TXN-001207,approved,,2026-06-26T11:40:01Z
AUTH-000391,TXN-001828,approved,,2026-06-24T11:19:25Z
AUTH-000392,TXN-000343,declined,incorrect_pin,2026-07-04T10:29:09Z
AUTH-000393,TXN-000405,approved,,2026-06-06T18:06:08Z
AUTH-000394,TXN-000237,approved,,2026-11-04T17:38:50Z
AUTH-000395,TXN-001963,approved,,2026-06-27T02:45:36Z
AUTH-000396,TXN-000151,approved,,2026-06-26T19:43:45Z
AUTH-000397,TXN-000385,approved,,2026-06-13T00:16:13Z
AUTH-000398,TXN-001158,approved,,2026-06-27T23:19:30Z
AUTH-000399,TXN-000111,declined,insufficient_funds,2026-06-23T19:12:04Z
AUTH-000400,TXN-001833,declined,insufficient_funds,2026-06-19T18:12:30Z
AUTH-000401,TXN-001614,approved,,2026-06-29T17:17:15Z
