transaction_id,account_id,card_id,merchant_id,channel,amount,currency,txn_ts,status
TXN-000033,ACC-0108,CARD-0008,MCH-0142,mobile,317.97,AUD,2026-06-12T18:59:57Z,settled
TXN-000034,ACC-0002,CARD-0205,MCH-0044,online,499.05,AUD,2026-06-09T20:50:26Z,settled
TXN-000035,ACC-0040,CARD-0180,MCH-0193,mobile,396.75,AUD,2026-06-09T00:17:36Z,settled
TXN-000036,ACC-0126,CARD-0003,MCH-0035,mobile,9.18,AUD,2026-06-22T04:54:43Z,settled
TXN-000015,ACC-0034,CARD-0212,MCH-0055,atm,133.97,AUD,2026-06-08T10:00:35Z,settled
TXN-000037,ACC-0030,CARD-0035,MCH-0175,pos,308.69,AUD,2026-06-15T02:08:18Z,settled
TXN-000012,ACC-0117,CARD-0115,MCH-0117,mobile,296.33,AUD,2026-07-01T13:12:37Z,settled
TXN-000038,ACC-0103,CARD-0018,MCH-0140,pos,34.33,AUD,2026-06-16T22:48:26Z,settled
TXN-000039,ACC-0018,CARD-0259,MCH-0011,mobile,28.73,AUD,2026-06-16T21:01:30Z,settled
TXN-000040,ACC-0151,CARD-0055,MCH-0045,online,82.54,AUD,2026-06-17T13:50:31Z,settled
TXN-000041,ACC-0122,CARD-0077,MCH-0090,atm,351.99,AUD,2026-06-30T20:49:17Z,settled
TXN-000042,ACC-9999,CARD-9999,MCH-0025,atm,45.31,AUD,2026-06-14T03:26:04Z,authorized
TXN-000043,ACC-0164,CARD-0101,MCH-0040,mobile,25.80,AUD,2026-07-03T21:19:11Z,authorized
TXN-000044,ACC-0173,CARD-0160,MCH-0176,pos,249.30,USD,2026-06-05T18:48:36Z,settled
TXN-000007,ACC-0145,CARD-0049,MCH-0146,online,28.10,AUD,2026-06-19T09:51:12Z,settled
TXN-000045,ACC-0097,CARD-0229,MCH-0114,pos,83.17,AUD,2026-06-23T07:43:21Z,authorized
TXN-000046,ACC-0111,CARD-0081,MCH-0127,mobile,-100.58,AUD,2026-06-20T15:21:29Z,declined
TXN-000009,ACC-0013,CARD-0052,MCH-0090,online,261.25,AUD,2026-07-01T23:20:34Z,settled
TXN-000047,ACC-9999,CARD-9999,,atm,370.59,AUD,2026-06-20T18:34:23Z,settled
TXN-000048,ACC-0208,CARD-0111,MCH-0073,mobile,258.05,USD,2026-06-23T02:26:23Z,settled
TXN-000049,ACC-0206,CARD-0111,MCH-0070,mobile,249.04,AUD,2026-06-29T22:27:50Z,settled
TXN-000050,ACC-0007,CARD-0267,MCH-0143,pos,177.45,AUD,2026-06-17T12:05:45Z,authorized
TXN-000051,ACC-0016,CARD-0014,MCH-0077,online,425.81,AUD,2026-06-07T04:49:35Z,settled
TXN-000052,ACC-0036,CARD-0201,,pos,371.56,SGD,2026-11-12T19:03:38Z,settled
TXN-000053,ACC-0169,CARD-0179,,online,31.71,AUD,2026-06-18T20:29:25Z,settled
TXN-000054,ACC-0008,CARD-0033,MCH-0093,mobile,-241.02,NZD,2026-06-19T09:00:59Z,authorized
TXN-000055,ACC-0201,CARD-0059,MCH-0006,mobile,487.42,NZD,2026-06-17T16:58:57Z,settled
TXN-000056,ACC-0202,CARD-0171,MCH-0013,online,158.91,AUD,2026-07-03T08:25:10Z,settled
TXN-000057,ACC-0193,CARD-0120,MCH-0033,pos,273.80,AUD,2026-07-04T12:56:07Z,settled
TXN-000058,ACC-0099,CARD-0165,MCH-0036,atm,75.01,AUD,2026-07-01T05:57:42Z,settled
TXN-000059,ACC-0222,CARD-0123,MCH-0189,mobile,-185.60,AUD,2026-06-12T17:57:09Z,settled
TXN-000060,ACC-0120,CARD-0033,MCH-0197,pos,87.19,SGD,2026-06-30T19:16:10Z,settled
TXN-000061,ACC-0136,CARD-0132,MCH-0066,pos,437.36,AUD,2026-06-16T23:42:19Z,authorized
TXN-000062,ACC-0211,CARD-0141,MCH-0054,pos,-405.36,AUD,2027-05-21T16:45:33Z,settled
TXN-000063,ACC-0205,CARD-0094,MCH-0017,mobile,147.54,USD,2026-06-27T16:49:16Z,settled
TXN-000016,ACC-0178,CARD-0262,MCH-0050,pos,7.59,AUD,2026-06-14T13:04:51Z,settled
TXN-000064,ACC-0128,CARD-0181,MCH-0182,pos,37.89,AUD,2026-06-05T08:14:40Z,settled
TXN-000065,ACC-0177,CARD-0230,MCH-0137,mobile,-88.48,AUD,2026-07-01T17:55:59Z,settled
TXN-000066,ACC-0097,CARD-0029,MCH-0103,online,-385.86,AUD,2026-06-06T22:07:26Z,settled
TXN-000067,ACC-0211,CARD-0094,,online,367.98,AUD,2026-06-25T20:57:04Z,settled
TXN-000001,ACC-0210,CARD-0123,MCH-0064,mobile,363.38,AUD,2026-06-18T14:14:37Z,authorized
TXN-000068,ACC-0162,CARD-0246,MCH-0032,atm,-333.99,AUD,2026-06-15T14:34:08Z,authorized
TXN-000024,ACC-0163,CARD-0204,MCH-0075,atm,199.12,GBP,2026-06-06T16:42:47Z,settled
TXN-000069,ACC-0060,CARD-0088,MCH-0069,mobile,243.44,GBP,2026-06-24T01:06:08Z,settled
TXN-000070,ACC-0053,CARD-0101,MCH-0155,mobile,333.20,AUD,2026-06-17T17:09:50Z,authorized
TXN-000071,ACC-0049,CARD-0222,MCH-0133,online,301.75,AUD,2026-06-08T12:05:20Z,settled
TXN-000072,ACC-0138,CARD-0205,MCH-0100,pos,162.77,AUD,2026-06-18T09:37:51Z,settled
TXN-000073,ACC-0027,CARD-0059,MCH-0013,atm,183.15,AUD,2026-06-28T20:48:55Z,settled
TXN-000074,ACC-0105,CARD-0264,MCH-0098,online,42.43,AUD,2026-06-25T22:05:36Z,settled
TXN-000075,ACC-0204,CARD-0219,MCH-0081,mobile,224.65,USD,2026-06-15T19:59:44Z,declined
TXN-000076,ACC-9999,CARD-9999,MCH-0190,pos,489.58,AUD,2026-06-06T13:09:57Z,settled
TXN-000077,ACC-0034,CARD-0172,MCH-0101,online,231.77,AUD,2026-06-20T02:42:24Z,declined
TXN-000078,ACC-0079,CARD-0260,MCH-0111,atm,153.99,AUD,2026-06-30T23:37:35Z,settled
TXN-000079,ACC-0176,CARD-0097,MCH-0012,atm,386.18,AUD,2026-07-03T21:18:51Z,settled
TXN-000080,ACC-9999,CARD-9999,MCH-0063,mobile,485.49,AUD,2026-06-26T07:18:40Z,settled
TXN-000081,ACC-9999,CARD-9999,MCH-0126,atm,185.81,AUD,2026-06-07T14:12:42Z,declined
TXN-000082,ACC-0067,CARD-0224,MCH-0123,pos,466.60,AUD,2027-02-03T11:43:33Z,settled
TXN-000083,ACC-0019,CARD-0140,MCH-0103,pos,418.88,AUD,2026-06-24T10:34:33Z,settled
TXN-000084,ACC-0028,CARD-0211,MCH-0123,atm,329.59,NZD,2026-07-05T10:53:21Z,settled
TXN-000085,ACC-0090,CARD-0071,MCH-0029,online,441.52,AUD,2026-07-04T03:11:25Z,authorized
TXN-000086,ACC-0129,CARD-0165,,atm,390.14,AUD,2026-07-01T14:01:49Z,reversed
TXN-000087,ACC-0175,CARD-0004,MCH-0191,pos,132.93,AUD,2026-06-26T09:59:32Z,settled
TXN-000088,ACC-0106,CARD-0167,,online,481.92,AUD,2026-06-09T20:24:04Z,settled
TXN-000089,ACC-0215,CARD-0227,MCH-0071,atm,394.99,AUD,2026-06-05T08:46:52Z,settled
TXN-000090,ACC-0114,CARD-0083,MCH-0091,pos,327.98,AUD,2026-06-08T12:07:53Z,declined
TXN-000091,ACC-0120,CARD-0194,MCH-0061,atm,395.34,AUD,2026-06-13T22:39:42Z,settled
TXN-000092,ACC-0115,CARD-0002,MCH-0157,mobile,255.29,NZD,2026-06-12T07:58:45Z,settled
TXN-000093,ACC-9999,CARD-9999,MCH-0066,mobile,120.02,AUD,2026-06-10T15:34:07Z,settled
TXN-000094,ACC-9999,CARD-9999,MCH-0094,mobile,176.34,AUD,2026-06-10T08:44:49Z,settled
TXN-000095,ACC-0196,CARD-0263,MCH-0009,pos,439.68,AUD,2026-06-27T13:17:00Z,settled
TXN-000096,ACC-0224,CARD-0009,MCH-0128,mobile,433.07,AUD,2026-07-03T04:03:16Z,reversed
TXN-000097,ACC-0042,CARD-0189,MCH-0067,atm,-108.66,AUD,2026-06-06T21:25:41Z,settled
TXN-000098,ACC-0164,CARD-0155,MCH-0111,pos,228.88,AUD,2026-06-25T20:09:09Z,authorized
TXN-000099,ACC-0208,CARD-0010,MCH-0104,mobile,168.14,AUD,2026-06-05T08:06:06Z,settled
TXN-000100,ACC-0105,CARD-0170,MCH-0159,atm,166.72,AUD,2026-06-12T19:27:36Z,settled
TXN-000101,ACC-0045,CARD-0235,MCH-0021,pos,106.75,AUD,2026-06-20T05:30:20Z,settled
TXN-000102,ACC-0085,CARD-0207,MCH-0058,mobile,-250.92,AUD,2026-06-19T04:18:26Z,settled
TXN-000103,ACC-0202,CARD-0083,MCH-0081,atm,458.54,AUD,2026-06-11T06:59:53Z,reversed
TXN-000104,ACC-0150,CARD-0197,MCH-0103,atm,-244.43,AUD,2026-06-07T08:00:39Z,settled
TXN-000105,ACC-0036,CARD-0105,MCH-0146,mobile,43.68,AUD,2026-06-30T17:06:42Z,settled
TXN-000106,ACC-9999,CARD-9999,MCH-0055,online,180.02,AUD,2026-06-13T20:05:23Z,settled
TXN-000107,ACC-0072,CARD-0029,MCH-0019,pos,332.39,AUD,2026-06-12T13:04:56Z,settled
TXN-000108,ACC-0130,CARD-0054,MCH-0122,pos,151.73,AUD,2026-11-02T18:56:23Z,settled
TXN-000109,ACC-0038,CARD-0096,MCH-0105,atm,173.50,AUD,2026-06-14T12:45:26Z,authorized
TXN-000110,ACC-0202,CARD-0122,MCH-0107,pos,395.82,AUD,2026-06-07T17:41:51Z,settled
TXN-000111,ACC-0103,CARD-0184,MCH-0055,pos,213.10,AUD,2026-06-23T19:12:04Z,declined
TXN-000112,ACC-0101,CARD-0180,MCH-0065,online,50.96,AUD,2026-06-08T17:42:58Z,settled
TXN-000113,ACC-0172,CARD-0185,MCH-0062,pos,341.90,GBP,2026-06-24T21:55:37Z,reversed
TXN-000114,ACC-0071,CARD-0154,MCH-0040,pos,479.27,AUD,2026-06-13T10:34:25Z,settled
TXN-000115,ACC-9999,CARD-9999,MCH-0172,mobile,470.62,AUD,2026-06-17T08:31:31Z,settled
TXN-000116,ACC-0036,CARD-0060,MCH-0107,pos,124.22,AUD,2026-06-19T11:53:13Z,settled
TXN-000117,ACC-0032,CARD-0181,MCH-0102,pos,456.78,AUD,2026-06-14T08:36:29Z,settled
TXN-000118,ACC-0052,CARD-0081,,pos,213.65,AUD,2026-06-24T04:41:13Z,settled
TXN-000119,ACC-0207,CARD-0033,MCH-0061,online,11.36,AUD,2026-06-12T04:09:20Z,settled
TXN-000120,ACC-0140,CARD-0011,MCH-0144,atm,19.38,AUD,2026-06-20T04:06:23Z,settled
TXN-000121,ACC-0180,CARD-0138,MCH-0063,atm,299.58,AUD,2026-09-10T03:04:58Z,settled
TXN-000122,ACC-0039,CARD-0052,MCH-0048,mobile,133.90,AUD,2026-06-13T18:29:26Z,settled
TXN-000123,ACC-0180,CARD-0250,MCH-0152,mobile,353.47,AUD,2026-07-04T18:41:55Z,settled
TXN-000124,ACC-0030,CARD-0059,MCH-0067,mobile,384.25,AUD,2026-06-13T03:43:31Z,settled
TXN-000125,ACC-0123,CARD-0104,MCH-0106,pos,148.11,AUD,2026-07-03T08:56:05Z,settled
TXN-000126,ACC-0020,CARD-0028,MCH-0134,atm,141.36,AUD,2026-06-24T00:21:40Z,reversed
TXN-000127,ACC-0082,CARD-0165,MCH-0187,mobile,139.73,AUD,2026-06-25T08:57:16Z,declined
TXN-000128,ACC-9999,CARD-9999,MCH-0166,online,343.28,USD,2026-07-05T07:54:04Z,settled
TXN-000129,ACC-0038,CARD-0222,,mobile,398.98,AUD,2027-02-01T03:12:09Z,settled
TXN-000130,ACC-0189,CARD-0222,MCH-0146,online,88.34,AUD,2026-06-13T16:10:37Z,declined
TXN-000131,ACC-0086,CARD-0001,MCH-0186,atm,281.25,USD,2026-06-28T02:57:54Z,settled
TXN-000132,ACC-0013,CARD-0165,MCH-0046,pos,18.69,AUD,2026-06-25T13:30:17Z,settled
TXN-000133,ACC-0031,CARD-0070,MCH-0167,pos,302.14,USD,2026-06-15T09:06:37Z,settled
TXN-000134,ACC-0043,CARD-0002,MCH-0135,atm,482.92,NZD,2026-07-05T04:51:13Z,settled
TXN-000135,ACC-0190,CARD-0164,MCH-0160,pos,232.08,AUD,2026-06-05T05:16:58Z,settled
TXN-000096,ACC-0224,CARD-0009,MCH-0128,mobile,433.07,AUD,2026-07-03T04:03:16Z,reversed
TXN-000136,ACC-0213,CARD-0254,MCH-0020,mobile,490.63,AUD,2026-06-09T23:51:46Z,settled
TXN-000137,ACC-0013,CARD-0164,MCH-0078,mobile,234.90,AUD,2026-06-12T08:11:46Z,settled
TXN-000138,ACC-9999,CARD-9999,MCH-0190,atm,370.21,SGD,2026-06-13T15:25:47Z,authorized
TXN-000139,ACC-0106,CARD-0235,MCH-0015,mobile,381.02,AUD,2026-06-21T13:39:55Z,settled
TXN-000140,ACC-9999,CARD-9999,MCH-0106,atm,28.46,AUD,2026-09-19T02:20:40Z,settled
TXN-000141,ACC-0174,CARD-0262,,atm,-377.20,AUD,2027-01-15T05:49:46Z,settled
TXN-000142,ACC-0181,CARD-0118,MCH-0189,atm,406.23,AUD,2026-06-15T05:04:34Z,settled
TXN-000143,ACC-0094,CARD-0140,MCH-0038,atm,472.84,AUD,2026-06-16T06:33:40Z,settled
TXN-000144,ACC-0044,CARD-0043,MCH-0089,mobile,193.72,AUD,2026-06-29T16:00:53Z,settled
TXN-000145,ACC-0005,CARD-0170,MCH-0158,mobile,59.33,AUD,2026-06-28T15:56:30Z,settled
TXN-000146,ACC-0015,CARD-0095,MCH-0061,pos,295.18,AUD,2026-06-06T20:15:06Z,settled
TXN-000147,ACC-0002,CARD-0013,MCH-0194,online,261.48,AUD,2026-06-11T17:53:26Z,settled
TXN-000148,ACC-0010,CARD-0112,MCH-0176,pos,127.39,AUD,2026-06-13T04:12:37Z,settled
TXN-000149,ACC-0072,CARD-0118,MCH-0119,online,-138.75,AUD,2026-06-13T21:34:51Z,settled
TXN-000150,ACC-0119,CARD-0177,,atm,18.16,AUD,2026-06-26T22:35:43Z,settled
TXN-000151,ACC-0214,CARD-0016,MCH-0063,atm,83.04,AUD,2026-06-26T19:43:45Z,settled
TXN-000152,ACC-0126,CARD-0219,MCH-0081,atm,-40.85,AUD,2026-06-23T02:04:29Z,settled
TXN-000153,ACC-0060,CARD-0115,MCH-0145,mobile,177.86,AUD,2026-06-21T21:19:25Z,settled
TXN-000154,ACC-0153,CARD-0159,MCH-0007,online,88.27,AUD,2026-06-18T07:07:03Z,settled
TXN-000155,ACC-0126,CARD-0185,MCH-0054,online,172.27,NZD,2026-06-05T00:24:13Z,settled
TXN-000156,ACC-0219,CARD-0133,MCH-0168,online,430.15,AUD,2027-03-07T07:23:05Z,settled
TXN-000057,ACC-0193,CARD-0120,MCH-0033,pos,273.80,AUD,2026-07-04T12:56:07Z,settled
TXN-000157,ACC-0132,CARD-0154,MCH-0016,atm,131.22,AUD,2026-10-19T19:02:18Z,authorized
TXN-000158,ACC-0089,CARD-0265,MCH-0097,mobile,460.51,AUD,2026-06-30T11:45:41Z,settled
TXN-000159,ACC-0045,CARD-0266,MCH-0131,online,-254.43,AUD,2026-06-10T16:05:41Z,settled
TXN-000160,ACC-0169,CARD-0145,MCH-0193,pos,377.63,AUD,2026-06-27T05:20:27Z,settled
TXN-000161,ACC-9999,CARD-9999,MCH-0037,atm,307.56,AUD,2026-06-26T07:45:59Z,settled
TXN-000162,ACC-0019,CARD-0102,MCH-0146,atm,-193.03,AUD,2026-06-12T08:31:08Z,settled
TXN-000163,ACC-0198,CARD-0072,MCH-0112,atm,441.51,NZD,2026-06-22T23:46:50Z,settled
TXN-000049,ACC-0206,CARD-0111,MCH-0070,mobile,249.04,AUD,2026-06-29T22:27:50Z,settled
TXN-000164,ACC-0077,CARD-0106,MCH-0156,online,7.19,AUD,2026-06-10T07:15:19Z,settled
TXN-000165,ACC-0143,CARD-0224,MCH-0035,mobile,-118.17,SGD,2026-06-18T02:39:53Z,reversed
TXN-000166,ACC-0121,CARD-0245,MCH-0087,pos,436.56,AUD,2026-06-15T09:51:01Z,declined
TXN-000167,ACC-0123,CARD-0098,MCH-0183,atm,278.59,AUD,2026-06-20T06:52:30Z,settled
TXN-000168,ACC-0184,CARD-0241,MCH-0180,atm,233.24,GBP,2026-06-13T20:57:20Z,settled
TXN-000169,ACC-0119,CARD-0187,MCH-0151,online,204.48,AUD,2026-06-28T01:29:00Z,settled
TXN-000170,ACC-0123,CARD-0041,MCH-0146,online,315.42,AUD,2026-06-30T21:53:44Z,settled
TXN-000171,ACC-0128,CARD-0227,MCH-0001,pos,444.28,AUD,2026-06-14T00:57:41Z,settled
TXN-000172,ACC-0206,CARD-0179,MCH-0038,atm,477.41,USD,2026-06-24T11:15:33Z,settled
TXN-000173,ACC-0143,CARD-0210,MCH-0053,online,483.26,AUD,2026-06-12T13:34:57Z,settled
TXN-000174,ACC-0164,CARD-0028,MCH-0184,online,380.41,AUD,2026-06-14T23:25:11Z,settled
TXN-000175,ACC-0031,CARD-0038,MCH-0034,mobile,345.30,AUD,2026-07-01T10:24:27Z,settled
TXN-000176,ACC-0021,CARD-0036,,online,458.30,AUD,2026-06-11T06:35:43Z,settled
TXN-000177,ACC-0197,CARD-0240,MCH-0179,pos,188.18,AUD,2026-06-27T10:55:56Z,settled
TXN-000178,ACC-0135,CARD-0025,MCH-0085,online,466.44,AUD,2026-06-09T04:35:35Z,declined
TXN-000179,ACC-0164,CARD-0269,MCH-0027,atm,-276.51,AUD,2026-06-16T06:21:20Z,declined
TXN-000180,ACC-0217,CARD-0176,MCH-0111,pos,21.91,AUD,2026-06-28T12:19:46Z,reversed
TXN-000181,ACC-0157,CARD-0235,MCH-0010,atm,25.56,AUD,2026-07-01T07:14:15Z,settled
TXN-000182,ACC-0137,CARD-0253,MCH-0128,mobile,310.74,AUD,2026-07-03T23:52:25Z,settled
TXN-000183,ACC-0043,CARD-0136,MCH-0148,pos,149.53,AUD,2026-06-06T14:28:07Z,settled
TXN-000184,ACC-0041,CARD-0068,MCH-0133,mobile,90.08,AUD,2026-06-13T22:56:30Z,settled
TXN-000185,ACC-0208,CARD-0090,MCH-0104,pos,450.98,AUD,2026-06-15T18:33:13Z,settled
TXN-000181,ACC-0157,CARD-0235,MCH-0010,atm,25.56,AUD,2026-07-01T07:14:15Z,settled
TXN-000186,ACC-0077,CARD-0098,MCH-0171,online,349.58,GBP,2026-06-24T19:14:04Z,settled
TXN-000187,ACC-0086,CARD-0142,MCH-0039,atm,206.16,AUD,2026-06-26T15:32:45Z,settled
TXN-000188,ACC-0100,CARD-0210,MCH-0161,pos,11.96,AUD,2026-06-22T11:26:05Z,settled
TXN-000189,ACC-0191,CARD-0100,MCH-0069,atm,82.96,AUD,2026-06-15T06:13:37Z,settled
TXN-000190,ACC-0152,CARD-0044,MCH-0008,atm,219.91,AUD,2026-07-05T07:54:50Z,settled
TXN-000191,ACC-0015,CARD-0052,MCH-0139,mobile,319.36,NZD,2026-06-10T21:46:15Z,settled
TXN-000192,ACC-0118,CARD-0137,MCH-0005,atm,150.19,AUD,2026-06-13T01:36:27Z,settled
TXN-000193,ACC-0068,CARD-0209,MCH-0184,pos,395.17,AUD,2026-06-30T14:52:45Z,settled
TXN-000194,ACC-0178,CARD-0170,MCH-0086,pos,173.34,GBP,2026-06-18T21:44:41Z,settled
TXN-000195,ACC-0123,CARD-0243,MCH-0085,online,434.25,AUD,2026-06-18T11:20:04Z,settled
TXN-000196,ACC-0141,CARD-0202,MCH-0024,pos,294.20,AUD,2026-06-26T18:35:39Z,settled
TXN-000197,ACC-0095,CARD-0015,MCH-0189,mobile,202.08,AUD,2026-06-07T04:57:37Z,settled
TXN-000198,ACC-0019,CARD-0082,MCH-0027,pos,-397.79,USD,2026-06-08T05:25:10Z,settled
TXN-000199,ACC-0004,CARD-0023,MCH-0081,atm,32.79,AUD,2026-06-26T17:19:36Z,settled
TXN-000200,ACC-0108,CARD-0260,MCH-0119,online,223.71,AUD,2026-06-11T17:36:36Z,settled
TXN-000201,ACC-0014,CARD-0170,,pos,133.76,AUD,2026-06-16T08:11:10Z,settled
TXN-000202,ACC-0189,CARD-0261,MCH-0103,pos,81.30,AUD,2026-06-28T01:34:21Z,settled
TXN-000203,ACC-0120,CARD-0052,MCH-0026,pos,367.03,AUD,2026-07-01T14:30:06Z,settled
TXN-000204,ACC-0097,CARD-0246,MCH-0127,pos,316.64,AUD,2026-06-13T11:14:07Z,settled
TXN-000205,ACC-0176,CARD-0115,MCH-0009,pos,18.00,AUD,2026-07-04T07:37:59Z,settled
TXN-000206,ACC-0050,CARD-0068,MCH-0027,mobile,204.62,AUD,2026-07-05T17:09:43Z,authorized
TXN-000207,ACC-0158,CARD-0097,MCH-0091,mobile,265.15,AUD,2026-06-26T03:53:14Z,declined
TXN-000208,ACC-0115,CARD-0159,MCH-0122,atm,377.30,AUD,2026-06-29T01:52:58Z,settled
TXN-000209,ACC-9999,CARD-9999,MCH-0035,mobile,179.54,AUD,2026-06-16T06:53:54Z,refunded
TXN-000210,ACC-0145,CARD-0060,MCH-0061,online,263.86,AUD,2026-07-02T23:20:22Z,settled
TXN-000211,ACC-0223,CARD-0092,MCH-0059,mobile,494.84,AUD,2026-06-27T23:22:11Z,refunded
TXN-000212,ACC-0091,CARD-0164,,online,27.64,AUD,2026-06-13T20:31:57Z,settled
TXN-000213,ACC-0166,CARD-0249,MCH-0199,pos,323.30,AUD,2026-07-04T08:13:33Z,settled
TXN-000214,ACC-0109,CARD-0181,MCH-0172,atm,120.97,AUD,2026-06-25T08:22:26Z,declined
TXN-000215,ACC-0196,CARD-0094,MCH-0020,online,230.36,AUD,2026-07-02T22:40:43Z,authorized
TXN-000216,ACC-0031,CARD-0063,MCH-0071,pos,254.12,SGD,2026-06-20T19:47:17Z,settled
TXN-000217,ACC-0066,CARD-0269,MCH-0181,mobile,63.02,AUD,2026-07-02T19:22:50Z,settled
TXN-000218,ACC-0055,CARD-0096,,mobile,497.32,AUD,2026-06-25T17:33:14Z,settled
TXN-000219,ACC-0106,CARD-0073,MCH-0067,online,-487.94,AUD,2026-06-07T18:27:40Z,settled
TXN-000220,ACC-0111,CARD-0144,MCH-0183,online,415.62,AUD,2026-06-09T18:54:26Z,authorized
TXN-000221,ACC-0173,CARD-0206,MCH-0153,online,-217.83,AUD,2026-06-09T07:37:13Z,refunded
TXN-000222,ACC-0090,CARD-0264,MCH-0195,atm,377.03,AUD,2026-06-26T18:18:47Z,reversed
TXN-000208,ACC-0115,CARD-0159,MCH-0122,atm,377.30,AUD,2026-06-29T01:52:58Z,settled
TXN-000223,ACC-0066,CARD-0083,MCH-0115,atm,468.75,AUD,2026-07-04T11:03:33Z,settled
TXN-000224,ACC-0152,CARD-0041,MCH-0032,pos,68.33,AUD,2026-07-03T02:07:56Z,settled
TXN-000225,ACC-0070,CARD-0127,MCH-0116,mobile,205.37,AUD,2026-06-10T05:14:42Z,settled
TXN-000226,ACC-0009,CARD-0219,MCH-0067,mobile,229.88,AUD,2026-07-04T01:37:44Z,declined
TXN-000227,ACC-0127,CARD-0143,MCH-0083,online,389.35,AUD,2026-06-16T17:02:28Z,settled
TXN-000228,ACC-0222,CARD-0081,MCH-0131,atm,121.03,AUD,2026-07-05T01:02:53Z,settled
TXN-000229,ACC-0193,CARD-0175,MCH-0046,online,-361.14,AUD,2026-06-22T00:56:17Z,settled
TXN-000230,ACC-9999,CARD-9999,MCH-0078,mobile,227.09,AUD,2026-06-14T06:39:00Z,settled
TXN-000231,ACC-0085,CARD-0233,MCH-0130,atm,345.99,AUD,2026-07-01T23:25:13Z,settled
TXN-000232,ACC-0122,CARD-0086,MCH-0185,atm,1.87,AUD,2026-06-07T13:15:36Z,declined
