device_id,transaction_id,device_type,ip,geo_country
DEV-000108,TXN-001528,mobile_android,18.102.203.129,US
DEV-000109,TXN-000709,pos_terminal,203.193.130.37,SG
DEV-000110,TXN-000620,web,217.121.3.130,US
DEV-000111,TXN-000294,web,134.99.68.233,GB
DEV-000112,TXN-001148,mobile_ios,25.76.83.139,NZ
DEV-000113,TXN-001349,pos_terminal,165.0.217.42,NZ
DEV-000114,TXN-000864,mobile_android,179.10.58.57,AU
DEV-000115,TXN-001860,pos_terminal,72.219.116.93,NZ
DEV-000116,TXN-001597,web,201.80.140.118,SG
DEV-000117,TXN-999999,atm,171.18.191.178,SG
DEV-000118,TXN-000666,mobile_ios,218.247.149.167,SG
DEV-000119,TXN-001777,mobile_android,89.157.179.29,NZ
DEV-000120,TXN-001357,pos_terminal,152.175.144.2,SG
DEV-000121,TXN-000364,mobile_android,192.86.191.114,US
DEV-000122,TXN-000040,pos_terminal,196.170.200.11,US
DEV-000123,TXN-001536,atm,67.192.220.205,GB
DEV-000124,TXN-000520,mobile_android,94.228.37.11,AU
DEV-000125,TXN-000636,mobile_android,200.185.156.94,GB
DEV-000126,TXN-000288,mobile_ios,219.121.164.109,US
DEV-000127,TXN-000487,mobile_ios,212.46.84.21,AU
DEV-000128,TXN-000684,atm,168.57.210.240,GB
DEV-000129,TXN-001646,web,132.13.178.160,US
DEV-000130,TXN-001655,web,176.101.65.60,SG
DEV-000131,TXN-001387,atm,192.142.85.196,NZ
DEV-000132,TXN-000181,atm,192.179.12.57,SG
DEV-000133,TXN-000997,atm,183.244.87.188,GB
DEV-000134,TXN-000024,atm,152.161.209.137,US
DEV-000135,TXN-001328,,17.191.1.113,GB
DEV-000136,TXN-000065,pos_terminal,42.11.25.28,US
DEV-000137,TXN-000800,mobile_android,192.79.221.225,SG
DEV-000138,TXN-000885,atm,95.119.41.4,GB
DEV-000139,TXN-001715,mobile_ios,145.205.83.147,NZ
DEV-000140,TXN-000496,pos_terminal,56.59.153.46,GB
DEV-000141,TXN-001061,atm,161.66.227.223,SG
DEV-000142,TXN-001500,web,156.173.165.178,AU
DEV-000143,TXN-001216,pos_terminal,30.78.97.207,US
DEV-000144,TXN-999999,mobile_android,159.212.247.2,SG
DEV-000145,TXN-001315,mobile_android,200.105.27.84,SG
DEV-000146,TXN-000180,pos_terminal,128.2.199.215,NZ
DEV-000147,TXN-000908,,25.191.68.55,GB
DEV-000148,TXN-001282,mobile_android,207.166.80.86,AU
DEV-000149,TXN-000493,web,131.121.62.189,SG
DEV-000150,TXN-000423,atm,26.159.133.13,US
DEV-000151,TXN-000693,mobile_android,195.228.125.39,US
DEV-000152,TXN-001582,pos_terminal,201.207.100.171,GB
DEV-000153,TXN-001339,atm,78.49.26.206,US
DEV-000154,TXN-000527,mobile_android,98.85.251.122,NZ
DEV-000155,TXN-000934,atm,204.217.191.120,US
DEV-000156,TXN-000191,atm,7.240.123.5,NZ
DEV-000157,TXN-001578,atm,29.24.65.41,AU
DEV-000158,TXN-001850,mobile_ios,76.137.250.54,NZ
DEV-000159,TXN-001448,mobile_android,89.37.55.87,GB
DEV-000160,TXN-001359,atm,121.134.78.40,GB
DEV-000161,TXN-000073,mobile_android,221.67.87.83,GB
DEV-000162,TXN-000726,pos_terminal,2.126.45.43,AU
DEV-000163,TXN-001333,pos_terminal,136.157.224.88,SG
DEV-000164,TXN-000186,pos_terminal,131.27.204.20,NZ
DEV-000165,TXN-000811,mobile_android,197.238.133.183,GB
DEV-000166,TXN-001694,mobile_ios,194.181.116.142,US
DEV-000167,TXN-001035,mobile_android,205.6.237.7,SG
DEV-000168,TXN-001853,mobile_ios,117.38.69.165,NZ
DEV-000169,TXN-000762,atm,197.172.182.115,GB
DEV-000170,TXN-001809,mobile_android,196.254.50.79,AU
DEV-000171,TXN-001852,pos_terminal,149.241.102.11,SG
DEV-000172,TXN-000322,pos_terminal,136.137.42.1,AU
DEV-000173,TXN-001246,mobile_android,116.200.89.35,GB
DEV-000174,TXN-001166,mobile_android,206.130.227.169,AU
DEV-000175,TXN-000799,mobile_ios,203.91.209.225,GB
DEV-000176,TXN-000406,atm,82.152.218.189,US
DEV-000177,TXN-001024,web,212.62.216.199,GB
DEV-000178,TXN-000664,mobile_ios,200.182.20.136,GB
DEV-000179,TXN-001718,web,206.148.60.178,AU
DEV-000180,TXN-001076,web,219.69.136.55,AU
DEV-000181,TXN-001954,mobile_ios,221.91.250.173,NZ
DEV-000182,TXN-001445,mobile_android,203.25.38.82,GB
DEV-000183,TXN-001030,web,161.180.26.97,GB
DEV-000184,TXN-001137,,100.6.202.213,GB
DEV-000185,TXN-000812,pos_terminal,216.139.22.0,AU
DEV-000186,TXN-001422,mobile_ios,9.0.147.16,GB
DEV-000187,TXN-001900,mobile_ios,25.113.202.161,US
DEV-000188,TXN-001110,mobile_ios,34.17.78.203,US
DEV-000189,TXN-001516,mobile_android,161.163.194.19,GB
DEV-000190,TXN-001231,mobile_ios,192.142.91.13,AU
DEV-000191,TXN-000099,mobile_ios,201.142.56.78,AU
DEV-000192,TXN-000545,web,50.104.171.247,GB
DEV-000193,TXN-001395,atm,201.134.189.152,GB
DEV-000194,TXN-000708,mobile_android,148.2.133.211,GB
DEV-000195,TXN-001694,mobile_android,216.10.252.142,US
DEV-000196,TXN-001144,pos_terminal,60.91.40.124,NZ
DEV-000197,TXN-000392,mobile_ios,6.241.34.65,GB
DEV-000198,TXN-001237,mobile_android,205.146.94.97,US
DEV-000199,TXN-000627,mobile_android,199.150.158.118,GB
DEV-000200,TXN-999999,web,132.196.25.153,GB
DEV-000201,TXN-000483,pos_terminal,12.244.111.197,GB
DEV-000202,TXN-001422,mobile_ios,145.220.249.154,GB
DEV-000203,TXN-001904,mobile_android,213.38.84.66,SG
DEV-000204,TXN-001318,mobile_android,192.96.92.125,AU
DEV-000205,TXN-000008,mobile_ios,137.232.86.40,SG
DEV-000206,TXN-001069,web,84.165.248.107,GB
DEV-000207,TXN-001413,pos_terminal,217.163.15.110,NZ
DEV-000208,TXN-000323,atm,165.186.183.244,SG
DEV-000209,TXN-001471,web,26.43.230.165,NZ
DEV-000210,TXN-001792,mobile_ios,213.226.65.115,AU
DEV-000211,TXN-000857,mobile_android,213.25.144.37,GB
DEV-000212,TXN-000711,pos_terminal,188.232.202.232,GB
DEV-000213,TXN-001390,atm,97.180.242.215,SG
DEV-000214,TXN-000732,atm,219.139.167.227,GB
DEV-000215,TXN-000200,pos_terminal,158.100.15.101,SG
DEV-000216,TXN-001537,mobile_android,193.4.129.235,NZ
DEV-000217,TXN-001517,atm,60.133.207.232,SG
DEV-000218,TXN-001329,web,5.243.91.167,US
DEV-000219,TXN-000025,atm,52.138.59.99,SG
DEV-000220,TXN-001100,atm,168.58.12.41,NZ
DEV-000221,TXN-001183,atm,146.25.222.204,NZ
DEV-000222,TXN-001637,pos_terminal,6.255.234.0,SG
DEV-000223,TXN-001249,mobile_android,195.200.64.17,AU
DEV-000224,TXN-000239,mobile_android,140.82.31.126,US
DEV-000225,TXN-001164,mobile_android,179.18.19.57,AU
DEV-000226,TXN-000686,mobile_ios,12.15.3.86,US
DEV-000227,TXN-000064,pos_terminal,214.210.84.166,AU
DEV-000228,TXN-001405,mobile_ios,211.83.94.83,US
DEV-000229,TXN-001027,atm,59.218.239.124,GB
DEV-000230,TXN-001039,mobile_ios,193.36.236.250,NZ
DEV-000231,TXN-001340,pos_terminal,200.24.82.177,AU
DEV-000232,TXN-000883,web,177.54.93.92,US
DEV-000233,TXN-000616,web,75.100.57.59,NZ
DEV-000234,TXN-000023,pos_terminal,183.72.223.124,GB
DEV-000235,TXN-001038,mobile_android,156.223.62.45,GB
DEV-000236,TXN-000047,mobile_ios,218.31.251.204,GB
DEV-000237,TXN-000091,mobile_ios,113.228.148.149,SG
DEV-000238,TXN-001496,web,210.6.10.214,NZ
DEV-000239,TXN-000376,mobile_ios,204.148.169.198,NZ
DEV-000240,TXN-000726,atm,169.27.43.178,US
DEV-000241,TXN-001904,web,164.210.85.30,GB
DEV-000242,TXN-999999,atm,222.1.113.104,GB
DEV-000243,TXN-001567,mobile_ios,129.248.240.230,NZ
DEV-000244,TXN-000453,mobile_ios,142.18.71.179,US
DEV-000245,TXN-000376,web,50.224.237.92,US
DEV-000246,TXN-000928,web,219.240.175.100,SG
DEV-000247,TXN-000819,mobile_ios,41.12.68.255,GB
DEV-000248,TXN-000832,mobile_android,89.56.162.112,SG
DEV-000249,TXN-000764,mobile_android,204.174.86.253,GB
DEV-000250,TXN-001526,atm,150.1.170.88,SG
DEV-000251,TXN-001652,pos_terminal,114.71.127.4,US
DEV-000252,TXN-000713,atm,80.44.235.223,NZ
DEV-000253,TXN-000993,atm,67.123.25.19,GB
DEV-000254,TXN-000129,mobile_ios,210.87.51.74,AU
DEV-000255,TXN-001276,mobile_android,184.5.162.11,US
DEV-000256,TXN-000800,pos_terminal,95.46.32.168,AU
DEV-000257,TXN-000499,mobile_android,143.2.150.19,NZ
DEV-000258,TXN-000366,atm,105.29.239.235,NZ
DEV-000259,TXN-001782,atm,111.53.216.143,GB
DEV-000260,TXN-001165,mobile_android,185.200.23.247,NZ
DEV-000261,TXN-001332,mobile_android,206.234.123.136,GB
DEV-000262,TXN-000202,web,174.172.175.214,GB
DEV-000263,TXN-000969,mobile_android,107.139.94.137,GB
DEV-000264,TXN-001214,atm,203.119.210.233,AU
DEV-000265,TXN-001870,,162.38.29.222,US
DEV-000266,TXN-001016,web,203.250.222.67,SG
DEV-000267,TXN-000293,mobile_ios,147.140.217.145,NZ
DEV-000268,TXN-000647,mobile_android,181.159.232.191,AU
DEV-000269,TXN-000812,mobile_android,206.62.179.145,SG
DEV-000270,TXN-001588,pos_terminal,5.146.74.231,GB
DEV-000271,TXN-001301,pos_terminal,178.114.97.58,US
DEV-000272,TXN-000454,mobile_android,208.152.158.141,AU
DEV-000273,TXN-001146,mobile_android,201.158.219.145,NZ
DEV-000274,TXN-000437,mobile_android,209.44.73.217,US
DEV-000275,TXN-000006,mobile_android,223.27.121.188,AU
DEV-000276,TXN-000789,,195.118.153.40,NZ
DEV-000277,TXN-000520,mobile_android,146.159.186.240,SG
DEV-000278,TXN-000426,mobile_ios,120.185.116.99,SG
DEV-000279,TXN-000408,mobile_android,128.173.136.186,SG
DEV-000280,TXN-000332,pos_terminal,213.78.151.33,GB
DEV-000281,TXN-000779,atm,213.24.89.157,SG
DEV-000282,TXN-001442,atm,41.91.83.68,AU
DEV-000283,TXN-000014,mobile_android,203.219.218.6,NZ
DEV-000284,TXN-000671,mobile_ios,95.53.135.105,GB
DEV-000285,TXN-999999,web,87.164.211.120,SG
DEV-000286,TXN-999999,pos_terminal,77.59.201.84,US
DEV-000287,TXN-000168,mobile_ios,197.113.235.224,SG
DEV-000288,TXN-001003,,157.24.224.215,SG
DEV-000289,TXN-000938,mobile_ios,84.189.148.199,NZ
DEV-000290,TXN-001831,mobile_ios,49.128.242.123,AU
DEV-000291,TXN-000223,mobile_android,213.144.45.126,SG
DEV-000292,TXN-001639,mobile_android,187.176.130.220,AU
DEV-000293,TXN-001485,atm,200.79.180.160,AU
DEV-000294,TXN-000225,web,215.33.253.158,GB
DEV-000295,TXN-001704,mobile_ios,219.10.129.59,NZ
DEV-000296,TXN-001749,mobile_android,160.27.6.44,US
DEV-000297,TXN-001833,pos_terminal,197.194.116.206,SG
DEV-000298,TXN-001498,web,81.248.200.112,SG
DEV-000299,TXN-000182,mobile_ios,74.18.36.144,SG
DEV-000300,TXN-001956,pos_terminal,179.201.92.116,SG
DEV-000301,TXN-000619,atm,218.145.51.134,SG
DEV-000302,TXN-000186,atm,223.82.115.23,AU
DEV-000303,TXN-001261,atm,138.81.219.213,SG
DEV-000304,TXN-999999,atm,193.11.126.12,US
DEV-000305,TXN-000694,atm,74.79.240.153,SG
DEV-000306,TXN-001723,atm,34.130.26.98,US
DEV-000307,TXN-001850,atm,213.82.171.33,US
DEV-000308,TXN-000490,atm,168.207.151.248,GB
DEV-000309,TXN-000563,web,198.132.196.72,SG
DEV-000310,TXN-001850,atm,203.200.144.123,AU
DEV-000311,TXN-001477,web,94.43.163.87,US
DEV-000312,TXN-000227,mobile_ios,154.74.1.15,AU
DEV-000313,TXN-001772,mobile_android,213.209.254.181,US
DEV-000314,TXN-001591,mobile_ios,201.14.222.131,GB
DEV-000315,TXN-000298,atm,53.238.83.126,US
DEV-000316,TXN-000563,pos_terminal,178.51.246.7,GB
DEV-000317,TXN-001141,atm,100.161.216.185,SG
DEV-000318,TXN-001231,,90.221.235.231,GB
DEV-000319,TXN-000396,mobile_ios,43.90.226.147,GB
DEV-000320,TXN-000284,mobile_android,170.39.249.51,SG
DEV-000321,TXN-000997,mobile_android,204.240.172.113,GB
DEV-000322,TXN-001924,pos_terminal,124.133.116.236,AU
DEV-000323,TXN-001463,pos_terminal,204.2.117.64,GB
DEV-000324,TXN-000982,mobile_ios,201.174.199.202,GB
DEV-000325,TXN-001093,web,166.221.1.63,AU
DEV-000326,TXN-000768,mobile_ios,1.246.216.226,US
DEV-000327,TXN-000075,atm,134.64.254.108,US
DEV-000328,TXN-001471,web,158.137.123.96,SG
DEV-000329,TXN-000018,mobile_ios,4.171.168.141,US
DEV-000330,TXN-000959,mobile_android,189.19.162.64,GB
DEV-000331,TXN-001537,mobile_android,128.116.142.157,GB
DEV-000332,TXN-000059,web,204.14.187.193,AU
DEV-000333,TXN-001237,web,186.27.221.232,AU
DEV-000334,TXN-001246,mobile_android,137.231.228.106,GB
DEV-000335,TXN-001898,web,184.29.194.99,NZ
DEV-000336,TXN-000086,web,166.198.232.121,AU
DEV-000337,TXN-001788,web,216.209.100.85,GB
DEV-000338,TXN-001024,mobile_android,214.132.168.147,GB
DEV-000339,TXN-001425,web,191.112.96.57,GB
DEV-000340,TXN-000110,web,101.247.175.105,US
DEV-000341,TXN-001810,web,172.216.39.188,SG
DEV-000342,TXN-001069,mobile_ios,212.107.14.171,SG
DEV-000343,TXN-999999,pos_terminal,215.90.73.89,GB
DEV-000344,TXN-000550,web,162.150.182.123,GB
DEV-000345,TXN-000181,mobile_android,89.162.202.54,AU
DEV-000346,TXN-001642,mobile_android,160.213.53.81,GB
DEV-000347,TXN-000896,pos_terminal,112.21.171.161,US
DEV-000348,TXN-001825,mobile_ios,31.23.232.223,US
DEV-000349,TXN-001189,pos_terminal,210.12.242.118,GB
DEV-000350,TXN-000325,,133.31.94.255,AU
DEV-000351,TXN-000231,web,220.76.102.15,NZ
DEV-000352,TXN-000186,mobile_android,185.42.193.134,US
DEV-000353,TXN-000824,atm,199.29.107.203,AU
DEV-000354,TXN-000944,web,60.24.30.58,NZ
DEV-000355,TXN-999999,mobile_ios,82.77.238.67,SG
DEV-000356,TXN-999999,web,78.211.178.125,NZ
DEV-000357,TXN-999999,mobile_android,209.39.105.174,US
DEV-000358,TXN-000833,pos_terminal,128.4.180.230,AU
DEV-000359,TXN-000845,mobile_android,81.168.243.28,US
DEV-000360,TXN-000112,,153.74.6.92,NZ
DEV-000361,TXN-000968,web,176.125.225.238,GB
DEV-000362,TXN-001100,pos_terminal,202.46.42.56,NZ
DEV-000363,TXN-000980,atm,219.35.152.164,US
DEV-000364,TXN-001826,web,175.27.36.223,GB
DEV-000365,TXN-001912,atm,44.115.25.206,NZ
DEV-000366,TXN-001343,pos_terminal,169.1.48.214,AU
DEV-000367,TXN-001658,pos_terminal,134.208.82.102,AU
DEV-000368,TXN-001767,pos_terminal,217.106.130.206,GB
DEV-000369,TXN-000087,web,175.7.224.198,GB
DEV-000370,TXN-001565,mobile_ios,193.128.18.139,SG
DEV-000371,TXN-001889,atm,220.17.10.170,US
DEV-000372,TXN-001881,mobile_android,215.200.228.255,AU
DEV-000373,TXN-000781,mobile_ios,175.213.220.92,GB
DEV-000374,TXN-000494,mobile_android,208.224.14.147,US
DEV-000375,TXN-001937,pos_terminal,132.82.207.30,GB
DEV-000376,TXN-001277,mobile_ios,183.13.95.59,NZ
DEV-000377,TXN-000726,mobile_ios,202.161.167.116,AU
DEV-000378,TXN-001986,pos_terminal,174.9.244.224,SG
DEV-000379,TXN-000115,mobile_ios,193.127.27.159,US
DEV-000380,TXN-000744,atm,149.227.54.29,SG
DEV-000381,TXN-001104,pos_terminal,43.108.79.122,AU
DEV-000382,TXN-001541,mobile_android,141.252.252.202,SG
DEV-000383,TXN-999999,pos_terminal,214.21.218.37,GB
DEV-000384,TXN-001503,web,183.131.251.254,US
DEV-000385,TXN-001003,atm,216.126.51.107,NZ
DEV-000386,TXN-001778,pos_terminal,79.251.2.141,SG
DEV-000387,TXN-001239,mobile_ios,211.105.255.171,NZ
DEV-000388,TXN-000523,pos_terminal,3.248.125.35,GB
DEV-000389,TXN-000987,atm,209.90.56.49,US
DEV-000390,TXN-001467,atm,148.47.202.101,SG
DEV-000391,TXN-000943,atm,171.25.83.157,NZ
DEV-000392,TXN-001494,web,145.239.227.109,SG
DEV-000393,TXN-000622,pos_terminal,136.53.46.134,US
DEV-000394,TXN-000984,web,59.21.80.60,SG
DEV-000395,TXN-000647,mobile_android,174.33.88.26,NZ
DEV-000396,TXN-000113,pos_terminal,213.151.246.237,AU
DEV-000397,TXN-000355,mobile_android,173.235.142.95,AU
DEV-000398,TXN-000469,pos_terminal,176.96.212.75,NZ
DEV-000399,TXN-001072,atm,211.57.83.131,AU
DEV-000400,TXN-999999,mobile_android,144.158.239.254,SG
DEV-000401,TXN-000766,pos_terminal,47.45.73.181,AU
DEV-000402,TXN-001983,web,149.245.74.222,NZ
DEV-000403,TXN-001439,mobile_ios,155.33.225.81,US
DEV-000404,TXN-000443,web,117.244.250.241,AU
DEV-000405,TXN-001751,web,164.121.92.209,GB
DEV-000406,TXN-001460,mobile_ios,136.100.149.132,AU
DEV-000407,TXN-999999,pos_terminal,200.102.68.64,US
DEV-000408,TXN-001462,mobile_android,215.139.183.72,SG
DEV-000409,TXN-000985,pos_terminal,220.48.50.91,AU
DEV-000410,TXN-000589,mobile_ios,73.146.50.6,NZ
DEV-000411,TXN-001859,web,162.211.98.38,AU
DEV-000412,TXN-001407,atm,148.52.224.11,AU
DEV-000413,TXN-000906,web,131.13.171.83,NZ
DEV-000414,TXN-000664,pos_terminal,138.116.49.132,NZ
DEV-000415,TXN-001031,atm,80.70.72.61,SG
DEV-000416,TXN-000910,mobile_ios,161.138.115.217,GB
DEV-000417,TXN-001118,atm,184.80.7.84,SG
DEV-000418,TXN-000556,pos_terminal,144.126.102.82,SG
DEV-000419,TXN-000737,mobile_android,135.194.90.231,AU
DEV-000420,TXN-001166,mobile_android,163.46.238.179,GB
DEV-000421,TXN-999999,web,205.101.116.157,SG
DEV-000422,TXN-001789,atm,159.51.24.247,GB
DEV-000423,TXN-001256,mobile_android,210.130.80.127,NZ
DEV-000424,TXN-001066,pos_terminal,190.215.14.154,AU
DEV-000425,TXN-001644,pos_terminal,199.85.204.117,AU
DEV-000426,TXN-000724,mobile_ios,195.89.124.82,SG
DEV-000427,TXN-001795,web,188.243.229.232,AU
DEV-000428,TXN-001966,atm,85.253.245.199,US
DEV-000429,TXN-000708,mobile_android,108.169.101.71,GB
DEV-000430,TXN-001228,mobile_ios,220.167.145.238,US
DEV-000431,TXN-000685,atm,171.115.225.123,NZ
DEV-000432,TXN-001838,pos_terminal,207.154.48.240,SG
DEV-000433,TXN-001435,atm,129.122.125.1,GB
DEV-000434,TXN-000698,web,48.26.252.11,NZ
DEV-000435,TXN-000067,web,202.40.254.62,NZ
DEV-000436,TXN-000271,atm,70.151.180.101,NZ
DEV-000437,TXN-000797,atm,94.72.173.16,GB
DEV-000438,TXN-000978,mobile_android,220.180.83.153,AU
DEV-000439,TXN-001654,atm,194.85.63.205,US
DEV-000440,TXN-000365,,106.124.0.248,AU
DEV-000441,TXN-000417,mobile_ios,56.243.61.129,GB
DEV-000442,TXN-000335,web,146.47.237.128,GB
DEV-000443,TXN-000231,atm,180.51.108.13,AU
DEV-000444,TXN-001241,atm,193.14.160.229,US
DEV-000445,TXN-000505,web,52.208.25.44,NZ
DEV-000446,TXN-000628,pos_terminal,145.111.60.238,NZ
DEV-000447,TXN-001866,mobile_ios,213.170.72.190,GB
DEV-000448,TXN-000103,mobile_android,207.122.213.106,SG
DEV-000449,TXN-001877,atm,201.61.23.219,NZ
DEV-000450,TXN-000982,pos_terminal,142.137.69.191,US
DEV-000451,TXN-001455,mobile_ios,117.218.63.156,US
DEV-000452,TXN-001436,mobile_android,147.109.189.29,NZ
DEV-000453,TXN-000122,pos_terminal,72.185.37.138,NZ
DEV-000454,TXN-000542,mobile_android,128.136.68.121,AU
DEV-000455,TXN-001370,atm,197.232.132.69,US
DEV-000456,TXN-001467,web,155.140.64.141,SG
DEV-000457,TXN-001504,pos_terminal,176.59.33.54,US
DEV-000458,TXN-001954,mobile_android,221.44.240.176,SG
DEV-000459,TXN-001256,pos_terminal,215.255.38.38,NZ
DEV-000460,TXN-001054,pos_terminal,56.241.57.219,SG
DEV-000461,TXN-001496,atm,133.17.197.179,NZ
DEV-000462,TXN-000792,mobile_android,184.179.30.121,GB
DEV-000463,TXN-999999,mobile_ios,184.154.48.164,NZ
DEV-000464,TXN-999999,atm,132.97.182.164,US
DEV-000465,TXN-000836,atm,71.16.20.17,US
DEV-000466,TXN-000798,web,222.125.17.182,GB
DEV-000467,TXN-000598,mobile_android,191.190.110.111,GB
